hour_of_day,avg_gen_mw,readings_count
0,7.890151515151516,264
1,7.564971751412429,177
2,8.654761904761905,168
3,6.168674698795181,166
4,5.58641975308642,162
5,4.277777777777778,144
6,3.801418439716312,141
7,3.734848484848485,132
8,3.7686567164179103,134
9,6.979166666666667,240
10,41.38321167883212,274
11,141.84962406015038,266
12,276.8385964912281,285
13,377.48135593220337,295
14,438.5985401459854,274
15,457.0254545454545,275
16,464.0568181818182,264
17,455.67158671586714,271
18,443.54635761589407,302
19,411.16727272727275,275
20,317.9154411764706,272
21,201.7864406779661,295
22,86.15053763440861,279
23,23.637037037037036,270
