timestamp_beginning_utc,timestamp_beginning,timestamp_ending_utc,timestamp_ending,load_area,prelim_load_avg_hourly,timezone
2023-01-01 00:00:00+00:00,2022-12-31 19:00:00,2023-01-01 01:00:00+00:00,2022-12-31 20:00:00,AEP,13294.0,EST
2023-01-01 01:00:00+00:00,2022-12-31 20:00:00,2023-01-01 02:00:00+00:00,2022-12-31 21:00:00,AEP,13056.0,EST
2023-01-01 02:00:00+00:00,2022-12-31 21:00:00,2023-01-01 03:00:00+00:00,2022-12-31 22:00:00,AEP,12744.1,EST
2023-01-01 03:00:00+00:00,2022-12-31 22:00:00,2023-01-01 04:00:00+00:00,2022-12-31 23:00:00,AEP,12565.8,EST
2023-01-01 04:00:00+00:00,2022-12-31 23:00:00,2023-01-01 05:00:00+00:00,2023-01-01 00:00:00,AEP,12239.4,EST
2023-01-01 05:00:00+00:00,2023-01-01 00:00:00,2023-01-01 06:00:00+00:00,2023-01-01 01:00:00,AEP,12045.3,EST
2023-01-01 06:00:00+00:00,2023-01-01 01:00:00,2023-01-01 07:00:00+00:00,2023-01-01 02:00:00,AEP,11909.0,EST
2023-01-01 07:00:00+00:00,2023-01-01 02:00:00,2023-01-01 08:00:00+00:00,2023-01-01 03:00:00,AEP,11752.2,EST
2023-01-01 08:00:00+00:00,2023-01-01 03:00:00,2023-01-01 09:00:00+00:00,2023-01-01 04:00:00,AEP,11713.4,EST
2023-01-01 09:00:00+00:00,2023-01-01 04:00:00,2023-01-01 10:00:00+00:00,2023-01-01 05:00:00,AEP,11752.9,EST
2023-01-01 10:00:00+00:00,2023-01-01 05:00:00,2023-01-01 11:00:00+00:00,2023-01-01 06:00:00,AEP,11839.0,EST
2023-01-01 11:00:00+00:00,2023-01-01 06:00:00,2023-01-01 12:00:00+00:00,2023-01-01 07:00:00,AEP,12020.9,EST
2023-01-01 12:00:00+00:00,2023-01-01 07:00:00,2023-01-01 13:00:00+00:00,2023-01-01 08:00:00,AEP,12358.5,EST
2023-01-01 13:00:00+00:00,2023-01-01 08:00:00,2023-01-01 14:00:00+00:00,2023-01-01 09:00:00,AEP,12682.8,EST
2023-01-01 14:00:00+00:00,2023-01-01 09:00:00,2023-01-01 15:00:00+00:00,2023-01-01 10:00:00,AEP,12832.5,EST
2023-01-01 15:00:00+00:00,2023-01-01 10:00:00,2023-01-01 16:00:00+00:00,2023-01-01 11:00:00,AEP,12602.6,EST
2023-01-01 16:00:00+00:00,2023-01-01 11:00:00,2023-01-01 17:00:00+00:00,2023-01-01 12:00:00,AEP,12697.5,EST
2023-01-01 17:00:00+00:00,2023-01-01 12:00:00,2023-01-01 18:00:00+00:00,2023-01-01 13:00:00,AEP,12703.4,EST
2023-01-01 18:00:00+00:00,2023-01-01 13:00:00,2023-01-01 19:00:00+00:00,2023-01-01 14:00:00,AEP,12636.9,EST
2023-01-01 19:00:00+00:00,2023-01-01 14:00:00,2023-01-01 20:00:00+00:00,2023-01-01 15:00:00,AEP,12543.3,EST
2023-01-01 20:00:00+00:00,2023-01-01 15:00:00,2023-01-01 21:00:00+00:00,2023-01-01 16:00:00,AEP,12443.4,EST
2023-01-01 21:00:00+00:00,2023-01-01 16:00:00,2023-01-01 22:00:00+00:00,2023-01-01 17:00:00,AEP,12609.7,EST
2023-01-01 22:00:00+00:00,2023-01-01 17:00:00,2023-01-01 23:00:00+00:00,2023-01-01 18:00:00,AEP,13153.8,EST
2023-01-01 23:00:00+00:00,2023-01-01 18:00:00,2023-01-02 00:00:00+00:00,2023-01-01 19:00:00,AEP,13301.0,EST
2023-01-02 00:00:00+00:00,2023-01-01 19:00:00,2023-01-02 01:00:00+00:00,2023-01-01 20:00:00,AEP,13208.1,EST
2023-01-02 01:00:00+00:00,2023-01-01 20:00:00,2023-01-02 02:00:00+00:00,2023-01-01 21:00:00,AEP,12988.4,EST
2023-01-02 02:00:00+00:00,2023-01-01 21:00:00,2023-01-02 03:00:00+00:00,2023-01-01 22:00:00,AEP,12716.9,EST
2023-01-02 03:00:00+00:00,2023-01-01 22:00:00,2023-01-02 04:00:00+00:00,2023-01-01 23:00:00,AEP,12413.0,EST
2023-01-02 04:00:00+00:00,2023-01-01 23:00:00,2023-01-02 05:00:00+00:00,2023-01-02 00:00:00,AEP,12024.9,EST
2023-01-02 05:00:00+00:00,2023-01-02 00:00:00,2023-01-02 06:00:00+00:00,2023-01-02 01:00:00,AEP,11681.9,EST
2023-01-02 06:00:00+00:00,2023-01-02 01:00:00,2023-01-02 07:00:00+00:00,2023-01-02 02:00:00,AEP,11590.8,EST
2023-01-02 07:00:00+00:00,2023-01-02 02:00:00,2023-01-02 08:00:00+00:00,2023-01-02 03:00:00,AEP,11532.3,EST
2023-01-02 08:00:00+00:00,2023-01-02 03:00:00,2023-01-02 09:00:00+00:00,2023-01-02 04:00:00,AEP,11570.7,EST
2023-01-02 09:00:00+00:00,2023-01-02 04:00:00,2023-01-02 10:00:00+00:00,2023-01-02 05:00:00,AEP,11804.8,EST
2023-01-02 10:00:00+00:00,2023-01-02 05:00:00,2023-01-02 11:00:00+00:00,2023-01-02 06:00:00,AEP,12162.9,EST
2023-01-02 11:00:00+00:00,2023-01-02 06:00:00,2023-01-02 12:00:00+00:00,2023-01-02 07:00:00,AEP,12637.6,EST
2023-01-02 12:00:00+00:00,2023-01-02 07:00:00,2023-01-02 13:00:00+00:00,2023-01-02 08:00:00,AEP,13032.1,EST
2023-01-02 13:00:00+00:00,2023-01-02 08:00:00,2023-01-02 14:00:00+00:00,2023-01-02 09:00:00,AEP,13219.1,EST
2023-01-02 14:00:00+00:00,2023-01-02 09:00:00,2023-01-02 15:00:00+00:00,2023-01-02 10:00:00,AEP,13406.1,EST
2023-01-02 15:00:00+00:00,2023-01-02 10:00:00,2023-01-02 16:00:00+00:00,2023-01-02 11:00:00,AEP,13524.8,EST
2023-01-02 16:00:00+00:00,2023-01-02 11:00:00,2023-01-02 17:00:00+00:00,2023-01-02 12:00:00,AEP,13469.0,EST
2023-01-02 17:00:00+00:00,2023-01-02 12:00:00,2023-01-02 18:00:00+00:00,2023-01-02 13:00:00,AEP,13325.0,EST
2023-01-02 18:00:00+00:00,2023-01-02 13:00:00,2023-01-02 19:00:00+00:00,2023-01-02 14:00:00,AEP,13208.3,EST
2023-01-02 19:00:00+00:00,2023-01-02 14:00:00,2023-01-02 20:00:00+00:00,2023-01-02 15:00:00,AEP,13060.6,EST
2023-01-02 20:00:00+00:00,2023-01-02 15:00:00,2023-01-02 21:00:00+00:00,2023-01-02 16:00:00,AEP,13050.0,EST
2023-01-02 21:00:00+00:00,2023-01-02 16:00:00,2023-01-02 22:00:00+00:00,2023-01-02 17:00:00,AEP,13253.2,EST
2023-01-02 22:00:00+00:00,2023-01-02 17:00:00,2023-01-02 23:00:00+00:00,2023-01-02 18:00:00,AEP,13814.3,EST
2023-01-02 23:00:00+00:00,2023-01-02 18:00:00,2023-01-03 00:00:00+00:00,2023-01-02 19:00:00,AEP,13983.5,EST
2023-01-03 00:00:00+00:00,2023-01-02 19:00:00,2023-01-03 01:00:00+00:00,2023-01-02 20:00:00,AEP,13856.6,EST
2023-01-03 01:00:00+00:00,2023-01-02 20:00:00,2023-01-03 02:00:00+00:00,2023-01-02 21:00:00,AEP,13627.7,EST
