timestamp,day_ahead_price,marginal_cost_congestion,marginal_cost_losses,energy_component
2022-07-01 00:00:00,63.23,0.0,7.18,56.05
2022-07-01 01:00:00,60.02,-6.52,5.9,60.64000000000001
2022-07-01 02:00:00,57.25,-10.14,5.01,62.38
2022-07-01 03:00:00,54.37,-13.31,4.2,63.47999999999999
2022-07-01 04:00:00,54.14,-12.22,4.29,62.07
2022-07-01 05:00:00,54.4,-10.22,4.56,60.06
2022-07-01 06:00:00,58.27,-7.08,5.52,59.83000000000001
2022-07-01 07:00:00,62.3,-4.89,6.52,60.67
2022-07-01 08:00:00,71.66,-3.1,8.42,66.33999999999999
2022-07-01 09:00:00,84.51,-10.91,9.27,86.15
2022-07-01 10:00:00,89.32,-4.34,10.76,82.89999999999999
2022-07-01 11:00:00,97.97,-2.18,11.84,88.31
2022-07-01 12:00:00,101.0,-2.29,12.27,91.02000000000001
2022-07-01 13:00:00,104.76,-4.79,12.28,97.27000000000001
2022-07-01 14:00:00,122.61,-24.45,11.91,135.15
2022-07-01 15:00:00,148.83,-29.05,14.8,163.08
2022-07-01 16:00:00,162.94,-33.75,15.27,181.42
2022-07-01 17:00:00,176.27,-40.92,16.09,201.1
2022-07-01 18:00:00,147.71,-34.47,13.65,168.53
2022-07-01 19:00:00,131.0,-19.86,12.96,137.9
2022-07-01 20:00:00,105.38,-12.8,10.43,107.75
2022-07-01 21:00:00,101.0,-17.75,9.57,109.18
2022-07-01 22:00:00,91.83,-14.65,9.24,97.24000000000001
2022-07-01 23:00:00,86.72,-14.96,8.92,92.76
2022-07-02 00:00:00,65.85,-7.78,6.64,66.99
2022-07-02 01:00:00,60.63,-3.75,6.32,58.059999999999995
2022-07-02 02:00:00,57.27,-5.52,5.54,57.25000000000001
2022-07-02 03:00:00,55.46,-8.03,4.97,58.52
2022-07-02 04:00:00,54.43,-6.4,5.03,55.8
2022-07-02 05:00:00,52.71,-4.74,5.1,52.35
2022-07-02 06:00:00,54.63,-6.37,5.44,55.56
2022-07-02 07:00:00,54.78,-4.4,5.83,53.35
2022-07-02 08:00:00,61.24,-7.66,6.16,62.74000000000001
2022-07-02 09:00:00,63.38,-10.46,6.05,67.79
2022-07-02 10:00:00,70.05,-13.29,6.53,76.81
2022-07-02 11:00:00,74.84,-17.15,6.55,85.44000000000001
2022-07-02 12:00:00,82.21,-23.86,6.62,99.44999999999999
2022-07-02 13:00:00,87.12,-29.89,6.36,110.65
2022-07-02 14:00:00,103.16,-44.17,6.74,140.58999999999997
2022-07-02 15:00:00,105.81,-45.57,6.74,144.64
2022-07-02 16:00:00,108.5,-44.25,7.09,145.66
2022-07-02 17:00:00,122.74,-55.26,7.5,170.5
2022-07-02 18:00:00,104.36,-39.01,7.36,136.01
2022-07-02 19:00:00,87.39,-23.28,7.37,103.3
2022-07-02 20:00:00,84.73,-26.14,6.7,104.17
2022-07-02 21:00:00,72.79,-18.49,6.33,84.95
2022-07-02 22:00:00,69.25,-15.8,6.44,78.61
2022-07-02 23:00:00,67.91,-12.98,6.7,74.19
2022-07-03 00:00:00,57.47,-5.45,6.11,56.81
2022-07-03 01:00:00,50.46,-0.17,5.75,44.88
2022-07-03 02:00:00,49.49,-1.17,5.45,45.21
2022-07-03 03:00:00,48.22,-2.33,5.1,45.449999999999996
2022-07-03 04:00:00,47.06,-2.6,4.69,44.970000000000006
2022-07-03 05:00:00,44.21,-1.19,4.44,40.96
2022-07-03 06:00:00,43.07,-0.87,4.32,39.62
2022-07-03 07:00:00,45.07,-3.26,4.14,44.19
2022-07-03 08:00:00,47.17,0.0,5.09,42.08
2022-07-03 09:00:00,48.93,-0.31,5.52,43.72
2022-07-03 10:00:00,52.43,-4.33,5.34,51.42
2022-07-03 11:00:00,57.22,-7.69,5.5,59.41
2022-07-03 12:00:00,66.0,-17.74,5.36,78.38
2022-07-03 13:00:00,70.27,-18.57,5.83,83.01
2022-07-03 14:00:00,71.06,-19.72,5.7,85.08
2022-07-03 15:00:00,80.89,-30.38,5.61,105.66
2022-07-03 16:00:00,93.4,-38.31,6.12,125.59
2022-07-03 17:00:00,103.09,-39.77,7.03,135.83
2022-07-03 18:00:00,91.03,-15.58,8.32,98.28999999999999
2022-07-03 19:00:00,80.45,-3.8,8.52,75.73
2022-07-03 20:00:00,69.89,-2.96,7.54,65.30999999999999
2022-07-03 21:00:00,66.6,-5.04,7.18,64.46000000000001
2022-07-03 22:00:00,57.24,-2.63,6.49,53.38
2022-07-03 23:00:00,56.03,-0.68,6.45,50.26
2022-07-04 00:00:00,50.6,-0.11,5.53,45.18
2022-07-04 01:00:00,46.89,0.0,4.68,42.21
2022-07-04 02:00:00,44.52,0.0,4.23,40.290000000000006
2022-07-04 03:00:00,43.43,0.0,4.16,39.269999999999996
2022-07-04 04:00:00,42.19,0.0,3.87,38.32
2022-07-04 05:00:00,42.04,0.0,3.82,38.22
2022-07-04 06:00:00,43.59,0.0,4.18,39.410000000000004
2022-07-04 07:00:00,45.11,0.0,4.36,40.75
2022-07-04 08:00:00,48.37,0.0,5.22,43.15
2022-07-04 09:00:00,48.91,-0.06,5.39,43.58
2022-07-04 10:00:00,52.84,-0.56,5.81,47.59
2022-07-04 11:00:00,59.52,-2.48,6.29,55.71
2022-07-04 12:00:00,68.6,-13.93,6.21,76.32000000000001
2022-07-04 13:00:00,70.9,-16.17,5.99,81.08000000000001
2022-07-04 14:00:00,76.47,-16.03,6.52,85.98
2022-07-04 15:00:00,85.36,-28.18,6.26,107.27999999999999
2022-07-04 16:00:00,99.7,-30.19,7.5,122.39000000000001
2022-07-04 17:00:00,107.35,-29.84,8.11,129.07999999999998
2022-07-04 18:00:00,98.26,-16.15,8.6,105.81
2022-07-04 19:00:00,83.87,-0.87,8.82,75.92000000000002
2022-07-04 20:00:00,74.26,-1.3,7.06,68.5
2022-07-04 21:00:00,70.9,-1.81,7.12,65.59
2022-07-04 22:00:00,57.31,-0.32,6.29,51.34
2022-07-04 23:00:00,55.43,-0.77,5.99,50.21
