hour,avg_hourly_generation_mw,min_hourly_generation_mw,max_hourly_generation_mw
0,1270.95163,1268.506353,1274.297834
1,1270.8861195000002,1268.353949,1274.467517
2,1271.083465,1266.04122,1277.748982
3,1270.2803559375,1265.730295,1274.467439
4,1270.3023295625,1265.567248,1274.345554
5,1270.2087697500003,1265.672469,1274.578549
6,1270.1232403125,1265.521798,1274.618856
7,1270.3066289375001,1266.194961,1274.727193
8,1270.243695375,1265.92301,1274.521305
9,1270.0987383124998,1265.260282,1274.341876
10,1270.041688375,1265.226951,1274.61585
11,1270.5236696875002,1265.222025,1275.502696
12,1270.8742673749998,1265.25601,1275.182263
13,1271.4382287500002,1268.001127,1275.25282
14,1271.500836375,1267.376143,1275.023517
15,1271.1908363125,1267.153061,1273.742876
16,1271.296221375,1268.105487,1273.985503
17,1271.1416685,1268.062771,1273.927003
18,1271.136925,1268.119617,1273.838269
19,1271.1151048749998,1268.027566,1273.722068
20,1271.14333425,1268.071702,1273.69602
21,1271.1248347499998,1267.819968,1273.75746
22,1271.0299166250004,1267.967364,1273.890517
23,1270.7192006250002,1268.308246,1274.098246
