day_of_week_num,day_type,system_energy_price_da
3,Weekday,37.06
3,Weekday,37.06
3,Weekday,33.35
3,Weekday,33.35
3,Weekday,26.38
3,Weekday,26.38
3,Weekday,24.16
3,Weekday,24.16
3,Weekday,19.53
3,Weekday,19.53
4,Weekday,17.45
4,Weekday,17.45
4,Weekday,15.87
4,Weekday,15.87
4,Weekday,15.17
4,Weekday,15.17
4,Weekday,16.04
4,Weekday,16.04
4,Weekday,18.25
4,Weekday,18.25
4,Weekday,21.7
4,Weekday,21.7
4,Weekday,22.86
4,Weekday,22.86
4,Weekday,25.27
4,Weekday,25.27
4,Weekday,29.38
4,Weekday,29.38
4,Weekday,31.2
4,Weekday,31.2
4,Weekday,36.25
4,Weekday,36.25
4,Weekday,43.12
4,Weekday,43.12
4,Weekday,45.8
4,Weekday,45.8
4,Weekday,52.14
4,Weekday,52.14
4,Weekday,57.3
4,Weekday,57.3
4,Weekday,68.51
4,Weekday,68.51
4,Weekday,76.82
4,Weekday,76.82
4,Weekday,63.28
4,Weekday,63.28
4,Weekday,51.0
4,Weekday,51.0
4,Weekday,41.26
4,Weekday,41.26
4,Weekday,36.35
4,Weekday,36.35
4,Weekday,29.39
4,Weekday,29.39
4,Weekday,27.31
4,Weekday,27.31
4,Weekday,22.74
4,Weekday,22.74
5,Weekday,20.07
5,Weekday,20.07
5,Weekday,17.19
5,Weekday,17.19
5,Weekday,15.2
5,Weekday,15.2
5,Weekday,15.42
5,Weekday,15.42
5,Weekday,18.11
5,Weekday,18.11
5,Weekday,21.63
5,Weekday,21.63
5,Weekday,22.46
5,Weekday,22.46
5,Weekday,25.39
5,Weekday,25.39
5,Weekday,27.28
5,Weekday,27.28
5,Weekday,31.8
5,Weekday,31.8
5,Weekday,35.62
5,Weekday,35.62
5,Weekday,44.03
5,Weekday,44.03
5,Weekday,48.17
5,Weekday,48.17
5,Weekday,56.44
5,Weekday,56.44
5,Weekday,67.46
5,Weekday,67.46
5,Weekday,83.11
5,Weekday,83.11
5,Weekday,82.55
5,Weekday,82.55
5,Weekday,66.0
5,Weekday,66.0
5,Weekday,49.16
5,Weekday,49.16
5,Weekday,39.23
5,Weekday,39.23
5,Weekday,32.72
5,Weekday,32.72
5,Weekday,29.95
5,Weekday,29.95
5,Weekday,24.94
5,Weekday,24.94
5,Weekday,21.63
5,Weekday,21.63
6,Weekend,18.91
6,Weekend,18.91
6,Weekend,17.35
6,Weekend,17.35
6,Weekend,15.27
6,Weekend,15.27
6,Weekend,14.95
6,Weekend,14.95
6,Weekend,14.84
6,Weekend,14.84
6,Weekend,14.9
6,Weekend,14.9
6,Weekend,15.78
6,Weekend,15.78
6,Weekend,19.48
6,Weekend,19.48
6,Weekend,23.65
6,Weekend,23.65
6,Weekend,25.83
6,Weekend,25.83
6,Weekend,30.04
6,Weekend,30.04
6,Weekend,32.45
6,Weekend,32.45
