year,month,hour,avg_lmp,data_points
2021,1,0,20.05677419354839,124
2021,1,1,15.984516129032261,124
2021,1,2,15.613467741935477,124
2021,1,3,16.295806451612894,124
2021,1,4,16.308225806451606,124
2021,1,5,17.263870967741937,124
2021,1,6,21.05,124
2021,1,7,28.557016129032256,124
2021,1,8,23.09653225806451,124
2021,1,9,22.95645161290322,124
2021,1,10,19.847499999999993,124
2021,1,11,16.68137096774194,124
2021,1,12,19.371209677419348,124
2021,1,13,16.966854838709683,124
2021,1,14,15.204516129032255,124
2021,1,15,14.86572580645161,124
2021,1,16,17.45822580645161,124
2021,1,17,36.250483870967734,124
2021,1,18,28.10822580645161,124
2021,1,19,22.982499999999995,124
2021,1,20,22.99016129032258,124
2021,1,21,23.128145161290316,124
2021,1,22,20.16758064516128,124
2021,1,23,18.936612903225814,124
2021,2,0,1702.8913392857146,112
2021,2,1,1669.1964285714282,112
2021,2,2,1551.5883035714287,112
2021,2,3,1659.1820535714285,112
2021,2,4,1708.7650892857148,112
2021,2,5,1724.659107142857,112
2021,2,6,1748.1553571428572,112
2021,2,7,1713.048125,112
2021,2,8,1831.8029464285707,112
2021,2,9,1601.2465178571426,112
2021,2,10,1484.642232142857,112
2021,2,11,1282.547946428571,112
2021,2,12,1273.2130357142862,112
2021,2,13,1180.3634821428575,112
2021,2,14,1159.8300892857146,112
2021,2,15,1209.716517857143,112
2021,2,16,1428.505982142857,112
2021,2,17,1607.1707142857147,112
2021,2,18,1693.2950892857139,112
2021,2,19,1482.6970535714288,112
2021,2,20,1379.4238392857146,112
2021,2,21,1478.6008035714287,112
2021,2,22,1560.3105357142856,112
2021,2,23,1617.5159821428567,112
2021,3,0,10.054838709677421,124
2021,3,1,6.677903225806453,124
2021,3,2,6.861416666666668,120
2021,3,3,7.818306451612904,124
2021,3,4,9.604193548387094,124
2021,3,5,13.75403225806451,124
2021,3,6,20.337258064516117,124
2021,3,7,23.5466935483871,124
2021,3,8,16.00540322580645,124
2021,3,9,16.979112903225804,124
2021,3,10,14.438225806451614,124
2021,3,11,11.894112903225798,124
2021,3,12,22.636290322580646,124
2021,3,13,11.604193548387093,124
2021,3,14,11.304919354838711,124
2021,3,15,11.499354838709676,124
2021,3,16,16.035645161290322,124
2021,3,17,13.154677419354835,124
2021,3,18,25.395645161290318,124
2021,3,19,50.298951612903224,124
2021,3,20,26.710241935483868,124
2021,3,21,19.00572580645162,124
2021,3,22,15.670564516129033,124
2021,3,23,15.903145161290315,124
2021,4,0,15.581000000000005,120
2021,4,1,24.783583333333343,120
2021,4,2,13.044833333333326,120
2021,4,3,11.248833333333327,120
2021,4,4,12.707333333333331,120
2021,4,5,15.63,120
2021,4,6,33.63091666666666,120
2021,4,7,24.249833333333346,120
2021,4,8,34.801333333333325,120
2021,4,9,22.226333333333333,120
2021,4,10,22.61916666666667,120
2021,4,11,22.358499999999992,120
