timestamp,generation_mw,hour,minute,day
2024-12-01 00:00:00,1271.822483,0,0,1
2024-12-01 00:15:00,1272.010588,0,15,1
2024-12-01 00:30:00,1271.876172,0,30,1
2024-12-01 00:45:00,1272.089174,0,45,1
2024-12-01 01:00:00,1272.127714,1,0,1
2024-12-01 01:15:00,1271.843237,1,15,1
2024-12-01 01:30:00,1271.643226,1,30,1
2024-12-01 01:45:00,1271.753269,1,45,1
2024-12-01 02:00:00,1271.990047,2,0,1
2024-12-01 02:15:00,1271.799081,2,15,1
2024-12-01 02:30:00,1271.889493,2,30,1
2024-12-01 02:45:00,1271.815393,2,45,1
2024-12-01 03:00:00,1271.918015,3,0,1
2024-12-01 03:15:00,1271.886979,3,15,1
2024-12-01 03:30:00,1271.846671,3,30,1
2024-12-01 03:45:00,1271.72777,3,45,1
2024-12-01 04:00:00,1271.847051,4,0,1
2024-12-01 04:15:00,1271.706915,4,15,1
2024-12-01 04:30:00,1272.035506,4,30,1
2024-12-01 04:45:00,1271.86776,4,45,1
2024-12-01 05:00:00,1271.330852,5,0,1
2024-12-01 05:15:00,1270.736232,5,15,1
2024-12-01 05:30:00,1271.057928,5,30,1
2024-12-01 05:45:00,1271.191849,5,45,1
2024-12-01 06:00:00,1270.920823,6,0,1
2024-12-01 06:15:00,1270.977772,6,15,1
2024-12-01 06:30:00,1270.894203,6,30,1
2024-12-01 06:45:00,1270.934776,6,45,1
2024-12-01 07:00:00,1270.88557,7,0,1
2024-12-01 07:15:00,1271.077387,7,15,1
2024-12-01 07:30:00,1271.06869,7,30,1
2024-12-01 07:45:00,1271.105716,7,45,1
2024-12-01 08:00:00,1271.016473,8,0,1
2024-12-01 08:15:00,1271.058456,8,15,1
2024-12-01 08:30:00,1271.208099,8,30,1
2024-12-01 08:45:00,1271.160383,8,45,1
2024-12-01 09:00:00,1270.826409,9,0,1
2024-12-01 09:15:00,1270.227982,9,15,1
2024-12-01 09:30:00,1270.784333,9,30,1
2024-12-01 09:45:00,1271.392247,9,45,1
2024-12-01 10:00:00,1271.108939,10,0,1
2024-12-01 10:15:00,1271.26553,10,15,1
2024-12-01 10:30:00,1270.995155,10,30,1
2024-12-01 10:45:00,1271.13203,10,45,1
2024-12-01 11:00:00,1271.065573,11,0,1
2024-12-01 11:15:00,1270.948887,11,15,1
2024-12-01 11:30:00,1271.156585,11,30,1
2024-12-01 11:45:00,1271.1282,11,45,1
2024-12-01 12:00:00,1270.920616,12,0,1
2024-12-01 12:15:00,1270.765875,12,15,1
2024-12-01 12:30:00,1270.247853,12,30,1
2024-12-01 12:45:00,1270.442639,12,45,1
2024-12-01 13:00:00,1270.554022,13,0,1
2024-12-01 13:15:00,1270.198065,13,15,1
2024-12-01 13:30:00,1270.39063,13,30,1
2024-12-01 13:45:00,1270.20907,13,45,1
2024-12-01 14:00:00,1269.836178,14,0,1
2024-12-01 14:15:00,1270.053346,14,15,1
2024-12-01 14:30:00,1270.19988,14,30,1
2024-12-01 14:45:00,1270.141919,14,45,1
2024-12-01 15:00:00,1270.202233,15,0,1
2024-12-01 15:15:00,1270.168683,15,15,1
2024-12-01 15:30:00,1270.284064,15,30,1
2024-12-01 15:45:00,1270.007301,15,45,1
2024-12-01 16:00:00,1270.167541,16,0,1
2024-12-01 16:15:00,1270.037567,16,15,1
2024-12-01 16:30:00,1270.125823,16,30,1
2024-12-01 16:45:00,1270.05403,16,45,1
2024-12-01 17:00:00,1269.94512,17,0,1
2024-12-01 17:15:00,1270.124323,17,15,1
2024-12-01 17:30:00,1270.063027,17,30,1
2024-12-01 17:45:00,1270.014319,17,45,1
2024-12-01 18:00:00,1270.122757,18,0,1
2024-12-01 18:15:00,1270.253095,18,15,1
2024-12-01 18:30:00,1270.144324,18,30,1
2024-12-01 18:45:00,1270.361793,18,45,1
2024-12-01 19:00:00,1270.131123,19,0,1
2024-12-01 19:15:00,1270.49928,19,15,1
2024-12-01 19:30:00,1270.22173,19,30,1
2024-12-01 19:45:00,1270.295632,19,45,1
2024-12-01 20:00:00,1270.127712,20,0,1
2024-12-01 20:15:00,1270.1963,20,15,1
2024-12-01 20:30:00,1270.258086,20,30,1
2024-12-01 20:45:00,1270.442273,20,45,1
2024-12-01 21:00:00,1270.375808,21,0,1
2024-12-01 21:15:00,1270.361466,21,15,1
2024-12-01 21:30:00,1270.401105,21,30,1
2024-12-01 21:45:00,1270.246735,21,45,1
2024-12-01 22:00:00,1270.38943,22,0,1
2024-12-01 22:15:00,1270.559367,22,15,1
2024-12-01 22:30:00,1269.627665,22,30,1
2024-12-01 22:45:00,1267.967364,22,45,1
2024-12-01 23:00:00,1268.308246,23,0,1
2024-12-01 23:15:00,1268.48496,23,15,1
2024-12-01 23:30:00,1268.656795,23,30,1
2024-12-01 23:45:00,1268.49934,23,45,1
2024-12-02 00:00:00,1268.831219,0,0,2
2024-12-02 00:15:00,1268.948975,0,15,2
2024-12-02 00:30:00,1268.641513,0,30,2
2024-12-02 00:45:00,1268.573977,0,45,2
2024-12-02 01:00:00,1268.735425,1,0,2
