day,hour,avg_hourly_generation_mw,min_hourly_generation_mw,max_hourly_generation_mw
1,0,1271.94960425,1271.822483,1272.089174
1,1,1271.8418615,1271.643226,1272.127714
1,2,1271.8735035,1271.799081,1271.990047
1,3,1271.8448587500002,1271.72777,1271.918015
1,4,1271.864308,1271.706915,1272.035506
1,5,1271.07921525,1270.736232,1271.330852
1,6,1270.9318935,1270.894203,1270.977772
1,7,1271.03434075,1270.88557,1271.105716
1,8,1271.11085275,1271.016473,1271.208099
1,9,1270.80774275,1270.227982,1271.392247
1,10,1271.1254135,1270.995155,1271.26553
1,11,1271.07481125,1270.948887,1271.156585
1,12,1270.59424575,1270.247853,1270.920616
1,13,1270.33794675,1270.198065,1270.554022
1,14,1270.05783075,1269.836178,1270.19988
1,15,1270.16557025,1270.007301,1270.284064
1,16,1270.0962402500002,1270.037567,1270.167541
1,17,1270.03669725,1269.94512,1270.124323
1,18,1270.22049225,1270.122757,1270.361793
1,19,1270.2869412500002,1270.131123,1270.49928
1,20,1270.2560927499999,1270.127712,1270.442273
1,21,1270.3462785,1270.246735,1270.401105
1,22,1269.6359565,1267.967364,1270.559367
1,23,1268.4873352500001,1268.308246,1268.656795
2,0,1268.7489209999999,1268.573977,1268.948975
2,1,1268.5558352500002,1268.353949,1268.735425
2,2,1267.639072,1266.04122,1268.519018
2,3,1265.8271215000002,1265.730295,1265.897568
2,4,1265.719721,1265.567248,1265.90631
2,5,1265.767696,1265.672469,1265.897821
2,6,1265.666866,1265.521798,1265.864987
2,7,1266.26402925,1266.194961,1266.341009
2,8,1266.13863825,1265.92301,1266.386093
2,9,1265.80571725,1265.260282,1266.175684
2,10,1265.3488895,1265.226951,1265.46261
2,11,1265.4125465000002,1265.222025,1265.53393
2,12,1266.1178845,1265.25601,1268.086809
2,13,1268.223821,1268.001127,1268.321531
2,14,1267.8660285,1267.376143,1268.211218
2,15,1267.557657,1267.153061,1268.049925
2,16,1268.22717675,1268.105487,1268.365541
2,17,1268.24658025,1268.062771,1268.439902
2,18,1268.32408825,1268.119617,1268.548827
2,19,1268.1944007499999,1268.027566,1268.348054
2,20,1268.2442457500001,1268.071702,1268.565599
2,21,1267.9958259999999,1267.819968,1268.225412
2,22,1268.5695205,1268.471019,1268.746609
2,23,1268.65365275,1268.609797,1268.693451
3,0,1268.94500475,1268.506353,1269.312243
3,1,1269.14895625,1269.078437,1269.221541
3,2,1269.3738907499999,1269.287207,1269.470408
3,3,1269.29190625,1269.15951,1269.392946
3,4,1269.47290525,1269.421002,1269.594211
3,5,1269.50916625,1269.3552,1269.816143
3,6,1269.53579975,1269.388941,1269.796178
3,7,1269.6197654999999,1269.521375,1269.746858
3,8,1269.4203360000001,1269.18843,1269.607412
3,9,1269.6412405,1269.404747,1269.82565
3,10,1269.627952,1269.3315,1269.897792
3,11,1270.3163655,1269.578551,1270.867958
3,12,1271.7380135,1271.119303,1272.35249
3,13,1272.17342275,1272.132195,1272.25101
3,14,1273.38068625,1272.47791,1273.953702
3,15,1273.6009545,1273.480946,1273.742876
3,16,1273.64423725,1273.272788,1273.985503
3,17,1273.836473,1273.76874,1273.927003
3,18,1273.680543,1273.551561,1273.838269
3,19,1273.6684197499999,1273.590685,1273.722068
3,20,1273.5644475000001,1273.452209,1273.69602
3,21,1273.67454475,1273.573287,1273.75746
3,22,1273.68146725,1273.365652,1273.890517
3,23,1273.647872,1273.437257,1274.098246
4,0,1274.16299,1274.04865,1274.297834
4,1,1273.997825,1273.714717,1274.467517
4,2,1275.44739375,1274.05079,1277.748982
4,3,1274.15753725,1273.96249,1274.467439
4,4,1274.152384,1274.038276,1274.345554
4,5,1274.4790014999999,1274.412476,1274.578549
4,6,1274.358402,1274.085965,1274.618856
4,7,1274.30838025,1274.139649,1274.727193
4,8,1274.3049545,1274.140111,1274.521305
4,9,1274.14025275,1273.979392,1274.341876
4,10,1274.0644985,1273.527185,1274.61585
4,11,1275.2909554999999,1275.035912,1275.502696
4,12,1275.04692575,1274.790843,1275.182263
4,13,1275.0177245,1274.771644,1275.25282
4,14,1274.6988,1273.985637,1275.023517
4,15,1273.4391635,1273.29971,1273.638047
4,16,1273.21723125,1272.901502,1273.42227
4,17,1272.4469235000001,1272.131452,1272.801485
4,18,1272.3225765,1272.232597,1272.514234
4,19,1272.31065775,1272.190464,1272.558543
4,20,1272.508551,1272.42873,1272.712516
4,21,1272.48268975,1272.241962,1272.827625
4,22,1272.23272225,1272.190717,1272.26963
4,23,1272.0879425,1271.931825,1272.243433
