date,hour,avg_generation_mw,min_generation_mw,max_generation_mw,std_dev_mw
2024-12-01,0,1271.95,1271.82,1272.09,0.12
2024-12-01,1,1271.84,1271.64,1272.13,0.21
2024-12-01,2,1271.87,1271.80,1271.99,0.09
2024-12-01,3,1271.84,1271.73,1271.92,0.08
2024-12-01,4,1271.86,1271.71,1272.04,0.13
2024-12-01,5,1271.08,1270.74,1271.33,0.25
2024-12-01,6,1270.93,1270.89,1270.98,0.03
2024-12-01,7,1271.03,1270.89,1271.11,0.10
2024-12-01,8,1271.11,1271.02,1271.21,0.09
2024-12-01,9,1270.81,1270.23,1271.39,0.48
2024-12-01,10,1271.13,1271.00,1271.27,0.11
2024-12-01,11,1271.07,1270.95,1271.16,0.09
2024-12-01,12,1270.59,1270.25,1270.92,0.30
2024-12-01,13,1270.34,1270.20,1270.55,0.17
2024-12-01,14,1270.06,1269.84,1270.20,0.16
2024-12-01,15,1270.17,1270.01,1270.28,0.12
2024-12-01,16,1270.10,1270.04,1270.17,0.06
2024-12-01,17,1270.04,1269.95,1270.12,0.08
2024-12-01,18,1270.22,1270.12,1270.36,0.11
2024-12-01,19,1270.29,1270.13,1270.50,0.16
2024-12-01,20,1270.26,1270.13,1270.44,0.14
2024-12-01,21,1270.35,1270.25,1270.40,0.07
2024-12-01,22,1269.64,1267.97,1270.56,1.18
2024-12-01,23,1268.49,1268.31,1268.66,0.14
2024-12-02,0,1268.75,1268.57,1268.95,0.17
2024-12-02,1,1268.56,1268.35,1268.74,0.17
2024-12-02,2,1267.64,1266.04,1268.52,1.12
2024-12-02,3,1265.83,1265.73,1265.90,0.08
2024-12-02,4,1265.72,1265.57,1265.91,0.15
2024-12-02,5,1265.77,1265.67,1265.90,0.10
2024-12-02,6,1265.67,1265.52,1265.86,0.14
2024-12-02,7,1266.26,1266.19,1266.34,0.07
2024-12-02,8,1266.14,1265.92,1266.39,0.22
2024-12-02,9,1265.81,1265.26,1266.18,0.41
2024-12-02,10,1265.35,1265.23,1265.46,0.12
2024-12-02,11,1265.41,1265.22,1265.53,0.13
2024-12-02,12,1266.12,1265.26,1268.09,1.32
2024-12-02,13,1268.22,1268.00,1268.32,0.15
2024-12-02,14,1267.87,1267.38,1268.21,0.36
2024-12-02,15,1267.56,1267.15,1268.05,0.43
2024-12-02,16,1268.23,1268.11,1268.37,0.12
2024-12-02,17,1268.25,1268.06,1268.44,0.15
2024-12-02,18,1268.32,1268.12,1268.55,0.18
2024-12-02,19,1268.19,1268.03,1268.35,0.15
2024-12-02,20,1268.24,1268.07,1268.57,0.22
2024-12-02,21,1268.00,1267.82,1268.23,0.20
2024-12-02,22,1268.57,1268.47,1268.75,0.12
2024-12-02,23,1268.65,1268.61,1268.69,0.04
2024-12-03,0,1268.95,1268.51,1269.31,0.33
2024-12-03,1,1269.15,1269.08,1269.22,0.08
2024-12-03,2,1269.37,1269.29,1269.47,0.08
2024-12-03,3,1269.29,1269.16,1269.39,0.11
2024-12-03,4,1269.47,1269.42,1269.59,0.08
2024-12-03,5,1269.51,1269.36,1269.82,0.21
2024-12-03,6,1269.54,1269.39,1269.80,0.18
2024-12-03,7,1269.62,1269.52,1269.75,0.11
2024-12-03,8,1269.42,1269.19,1269.61,0.18
2024-12-03,9,1269.64,1269.40,1269.83,0.19
2024-12-03,10,1269.63,1269.33,1269.90,0.23
2024-12-03,11,1270.32,1269.58,1270.87,0.56
2024-12-03,12,1271.74,1271.12,1272.35,0.51
2024-12-03,13,1272.17,1272.13,1272.25,0.06
2024-12-03,14,1273.38,1272.48,1273.95,0.63
2024-12-03,15,1273.60,1273.48,1273.74,0.14
2024-12-03,16,1273.64,1273.27,1273.99,0.31
2024-12-03,17,1273.84,1273.77,1273.93,0.07
2024-12-03,18,1273.68,1273.55,1273.84,0.13
2024-12-03,19,1273.67,1273.59,1273.72,0.06
2024-12-03,20,1273.56,1273.45,1273.70,0.10
2024-12-03,21,1273.67,1273.57,1273.76,0.08
2024-12-03,22,1273.68,1273.37,1273.89,0.23
2024-12-03,23,1273.65,1273.44,1274.10,0.31
2024-12-04,0,1274.16,1274.05,1274.30,0.10
2024-12-04,1,1274.00,1273.71,1274.47,0.33
2024-12-04,2,1275.45,1274.05,1277.75,1.71
2024-12-04,3,1274.16,1273.96,1274.47,0.22
2024-12-04,4,1274.15,1274.04,1274.35,0.13
2024-12-04,5,1274.48,1274.41,1274.58,0.07
2024-12-04,6,1274.36,1274.09,1274.62,0.24
2024-12-04,7,1274.31,1274.14,1274.73,0.28
2024-12-04,8,1274.30,1274.14,1274.52,0.18
2024-12-04,9,1274.14,1273.98,1274.34,0.17
2024-12-04,10,1274.06,1273.53,1274.62,0.44
2024-12-04,11,1275.29,1275.04,1275.50,0.22
2024-12-04,12,1275.05,1274.79,1275.18,0.17
2024-12-04,13,1275.02,1274.77,1275.25,0.22
2024-12-04,14,1274.70,1273.99,1275.02,0.49
2024-12-04,15,1273.44,1273.30,1273.64,0.15
2024-12-04,16,1273.22,1272.90,1273.42,0.22
2024-12-04,17,1272.45,1272.13,1272.80,0.29
2024-12-04,18,1272.32,1272.23,1272.51,0.13
2024-12-04,19,1272.31,1272.19,1272.56,0.17
2024-12-04,20,1272.51,1272.43,1272.71,0.14
2024-12-04,21,1272.48,1272.24,1272.83,0.25
2024-12-04,22,1272.23,1272.19,1272.27,0.04
2024-12-04,23,1272.09,1271.93,1272.24,0.13
