hour_of_day,avg_loss_component,avg_abs_loss_component,std_loss_component,median_loss_component,p75_abs_loss_component,observation_count
0,1.8140762362637373,1.8232154304029315,1.6472433167112979,1.43,1.92,4368
1,1.6106320395738172,1.6130429984779266,1.4025132273221261,1.29,1.67,4380
2,1.4745301499846968,1.476127946127947,1.3100234127257395,1.18,1.54,4356
3,1.4009664987790038,1.4009664987790038,1.1763950106357746,1.13,1.47,4368
4,1.367228327228328,1.367416056166057,1.0327725541609896,1.11,1.51,4368
5,1.5544986263736245,1.5551030219780195,1.2915708397735135,1.23,1.69,4368
6,1.9348519536019526,1.9355158730158715,1.64326710978355,1.51,2.06,4368
7,2.333888125763128,2.3350511294261316,2.829031926893968,1.82,2.49,4368
8,2.299692460317459,2.299692460317459,2.4763380302873506,1.81,2.43,4368
9,2.18747023809524,2.188761446886449,1.7788017066751234,1.79,2.39,4368
10,2.335077991452995,2.3378710317460354,2.0143896460858826,1.87,2.53,4368
11,2.395205280830284,2.39915216727717,1.9375786607043606,1.95,2.72,4368
12,2.4073378357753357,2.4082764804639805,1.7670932491408098,1.96,2.77,4368
13,2.452787126068375,2.452787126068375,1.6696352198509496,2.02,2.89,4368
14,2.5109235729548183,2.5137211920024374,1.670582587849633,2.07,2.97,4368
15,2.770779914529916,2.770779914529916,4.447684932539175,2.215,3.0825,4368
16,3.0754262057387134,3.07628701159952,3.670528868083638,2.43,3.35,4368
17,3.8112568681318733,3.8118200549450587,5.595420471657224,2.7,3.7,4368
18,3.7559647817460307,3.7559647817460307,5.523760229302259,2.75,3.5925,4368
19,3.2385344169719157,3.2404758089133074,6.659229707753312,2.51,3.22,4368
20,2.8441784951160005,2.845877213064719,3.2812553320827647,2.3,2.9525,4368
21,2.468689331501823,2.46947229853479,1.7736741213886897,2.11,2.7,4368
22,2.2115884462759428,2.21222489316239,1.492788798756068,1.87,2.4,4368
23,2.0089743589743603,2.0101419413919426,1.636296131294456,1.62,2.17,4368
