hour_of_day,observations,min_generation_mw,max_generation_mw,avg_generation_mw,std_dev_generation_mw
0,24,3340.0,3347.0,3343.7916666666665,2.4843714394742515
1,24,3340.0,3348.0,3343.875,2.691573000568869
2,24,3340.0,3348.0,3344.7083333333335,2.4402274781109106
3,24,3341.0,3347.0,3344.0833333333335,2.357534944490273
4,24,3342.0,3347.0,3344.7083333333335,1.5736738147920994
5,24,3342.0,3347.0,3344.5416666666665,1.350657381543832
6,24,3341.3333333333335,3346.0,3344.2013888888887,1.523550365621914
7,24,3341.5,3346.0,3343.631944444444,1.5385380841540763
8,24,3342.0,3346.0,3344.1666666666665,1.1293194051465598
9,24,3343.0,3346.0,3344.0,0.9325048082403139
10,24,3342.0,3345.0,3343.625,0.9696480760071398
11,24,3342.0,3345.6666666666665,3343.819444444445,0.9667374620087738
12,24,3342.0,3345.0,3343.486111111111,0.828123813158104
13,24,3341.0,3344.0,3342.472222222222,0.7734524312755503
14,24,3341.0,3345.0,3342.7291666666674,1.25764569943746
15,24,3340.0,3344.5,3342.5,1.1515584902738285
16,24,3340.0,3345.0,3342.2083333333335,1.222030068338181
17,24,3340.0,3346.0,3342.736111111111,1.187613881309384
18,24,3342.0,3344.0,3343.0972222222226,0.7188232914393904
19,24,3340.0,3345.0,3342.4166666666665,1.8630658852422861
20,24,3339.0,3345.0,3342.125,1.650098811270562
21,24,3338.0,3345.0,3342.4166666666665,2.1450988964060187
22,24,3289.0,3347.0,3326.125,22.579930488590197
23,24,3322.0,3347.0,3335.0,11.04536101718726
