hour_of_day,avg_gas_generation_mw,min_gas_generation_mw,max_gas_generation_mw,std_dev_gas_generation_mw
0,43847.0,41129.0,46762.0,2624.8135171855542
1,43189.0,41371.0,45027.0,2071.936935977219
2,41926.5,39732.0,44154.0,2083.2017825133184
3,40337.25,38626.0,42689.0,1967.3854689240068
4,38257.25,36340.0,40773.0,1908.3770373452585
5,36582.25,34758.0,39322.0,1937.1381597604234
6,35952.75,33880.0,39055.0,2219.3553681193102
7,35668.75,33352.0,39055.0,2432.44628238049
8,35322.5,33171.0,38897.0,2523.1095233197207
9,35626.5,33154.0,39287.0,2664.589336714634
10,36678.75,33505.0,40738.0,3159.8160679592306
11,38522.0,33957.0,43590.0,4641.9950452364765
12,40280.75,34024.0,45848.0,5685.871693651437
13,41368.25,35950.0,46423.0,5153.783294823328
14,41565.0,36784.0,46434.0,4691.758518935091
15,41915.25,36960.0,47183.0,4513.763867328463
16,42016.0,36452.0,47064.0,4676.048189087305
17,41930.5,36589.0,47423.0,4674.861174409353
18,41660.75,36573.0,46858.0,4533.106541508447
19,41596.25,36409.0,47078.0,4761.558874640391
20,42068.25,37231.0,46909.0,4359.144210736782
21,43384.0,38780.0,47531.0,4244.178836948321
22,44418.75,40234.0,48330.0,4003.6704305757567
23,44707.0,41245.0,48132.0,3494.5289620586445
