date,daily_min,daily_max,daily_spread,p10_price,p90_price,p90_p10_spread
2019-08-13,8.37,9035.44,9027.07,12.305,5323.5650000000005,5311.26
2021-02-19,-0.31,8993.66,8993.97,0.4,8991.915,8991.515000000001
2019-08-15,15.97,9006.62,8990.650000000001,16.68,6636.095,6619.415
2021-02-13,570.61,9050.12,8479.51,1146.915,3911.26,2764.3450000000003
2021-02-14,568.92,8969.31,8400.39,761.3199999999999,4850.7,4089.38
2021-02-15,1402.78,9166.17,7763.39,1795.5,9028.875,7233.375
2019-09-22,11.18,7034.58,7023.4,13.05,697.395,684.345
2019-08-12,12.66,6537.45,6524.79,14.364999999999998,1375.785,1361.42
2018-01-23,19.78,5803.19,5783.41,20.25,73.695,53.44499999999999
2022-07-13,60.29,5500.35,5440.06,61.075,5157.01,5095.935
2023-09-06,22.06,5333.97,5311.91,24.82,3740.6949999999997,3715.8749999999995
2023-06-20,16.95,5272.33,5255.38,18.22,4530.885,4512.665
2023-08-17,4.17,5236.81,5232.64,10.7,4120.805,4110.1050000000005
2014-01-06,26.38,5203.54,5177.16,31.155,549.215,518.0600000000001
2023-09-07,18.55,5052.16,5033.61,19.77,676.53,656.76
2024-05-08,-4.01,4981.33,4985.34,1.37,1191.245,1189.875
2023-08-30,22.1,5006.36,4984.259999999999,24.58,951.005,926.425
2014-03-03,43.73,4986.55,4942.820000000001,49.035,1018.645,969.61
2023-08-25,20.54,4938.75,4918.21,22.205,2445.615,2423.41
2023-08-26,21.66,4912.85,4891.1900000000005,26.384999999999998,874.2,847.815
2013-09-03,23.03,4900.0,4876.97,23.54,61.504999999999995,37.964999999999996
2023-09-08,15.67,4861.71,4846.04,16.91,1252.12,1235.2099999999998
2024-08-20,14.27,4844.87,4830.599999999999,17.125,83.705,66.58
2019-10-05,1.67,4642.83,4641.16,2.2750000000000004,713.47,711.195
2022-05-13,9.25,4607.17,4597.92,36.650000000000006,2408.775,2372.125
2023-08-24,24.92,4344.97,4320.05,25.700000000000003,1891.96,1866.26
2022-07-09,37.91,4234.51,4196.6,40.14,1188.835,1148.695
2022-02-24,31.99,4041.87,4009.88,38.135,2317.7349999999997,2279.5999999999995
2022-12-23,38.57,4008.75,3970.18,51.215,2177.7200000000003,2126.505
2023-08-10,25.65,3980.86,3955.21,27.025,2438.58,2411.555
2021-02-11,33.78,3959.9,3926.12,38.65,1521.995,1483.3449999999998
2023-07-10,21.0,3943.63,3922.63,21.729999999999997,244.65999999999997,222.92999999999998
2024-11-17,-4.22,3904.26,3908.48,6.915,224.91,217.995
2022-04-10,-24.95,3601.17,3626.12,-19.355,136.775,156.13
2023-08-28,24.84,3436.63,3411.79,26.47,198.19,171.72
2024-11-10,10.58,3384.27,3373.69,12.875,259.46500000000003,246.59000000000003
2023-07-31,18.94,3341.75,3322.81,19.915,160.865,140.95000000000002
2013-04-05,2.02,3231.01,3228.9900000000002,21.07,41.525,20.455
2018-06-05,14.99,3140.59,3125.6000000000004,16.32,372.735,356.415
2023-08-04,16.48,3098.22,3081.74,18.83,1391.28,1372.45
2011-03-03,-15.59,3001.0,3016.59,-7.695,36.47,44.165
2011-06-27,2.06,3001.0,2998.94,2.965,128.43,125.465
2012-06-26,14.11,3012.62,2998.5099999999998,16.285,878.2,861.9150000000001
2012-03-31,7.91,2999.99,2992.08,11.985,139.86,127.87500000000001
2011-02-02,17.92,3001.0,2983.08,36.555,3000.01,2963.4550000000004
2011-08-05,20.29,3001.0,2980.71,23.455,812.425,788.9699999999999
2011-08-02,23.56,3001.0,2977.44,24.235,1302.7199999999998,1278.485
2011-08-23,23.48,3000.66,2977.18,24.205,499.40999999999997,475.205
2011-08-24,24.05,3001.0,2976.95,24.74,3000.51,2975.7700000000004
2011-08-04,24.24,3001.0,2976.76,24.725,3000.3450000000003,2975.6200000000003
2011-08-03,24.86,3001.0,2976.14,25.59,2982.7749999999996,2957.1849999999995
2011-08-01,24.87,3001.0,2976.13,25.335,335.96500000000003,310.63000000000005
2012-03-09,-1.2,2974.39,2975.5899999999997,16.060000000000002,56.754999999999995,40.69499999999999
2011-11-06,14.66,2978.67,2964.01,22.76,113.75000000000001,90.99000000000001
2011-05-31,2.83,2964.29,2961.46,3.26,54.155,50.895
2011-08-27,18.24,2950.33,2932.09,20.060000000000002,446.655,426.59499999999997
2011-08-29,20.93,2934.0,2913.07,22.295,72.86,50.565
2022-07-08,31.59,2904.94,2873.35,34.095,632.5999999999999,598.5049999999999
2023-08-06,10.75,2795.54,2784.79,16.299999999999997,120.67500000000001,104.37500000000001
2022-07-17,31.81,2778.89,2747.08,34.015,634.37,600.355
2023-08-12,0.1,2691.84,2691.7400000000002,17.16,189.745,172.585
2023-08-08,21.08,2615.61,2594.53,22.325000000000003,467.08500000000004,444.76000000000005
2023-08-11,11.41,2580.12,2568.71,21.375,863.5350000000001,842.1600000000001
2019-08-05,14.31,2466.03,2451.7200000000003,14.79,643.235,628.445
2024-04-16,0.34,2415.32,2414.98,8.225000000000001,133.04500000000002,124.82000000000002
2011-01-27,16.53,2429.42,2412.89,22.715,34.125,11.41
2023-09-05,0.0,2399.69,2399.69,10.325,305.22,294.89500000000004
2022-07-20,33.73,2421.69,2387.96,37.435,673.335,635.9000000000001
2024-04-28,9.53,2394.84,2385.31,13.879999999999999,169.41500000000002,155.53500000000003
2019-10-06,-13.07,2348.3,2361.3700000000003,-0.54,60.5,61.04
2018-01-17,31.38,2315.01,2283.63,44.505,153.305,108.80000000000001
2011-01-06,24.19,2230.99,2206.7999999999997,25.055,38.8,13.744999999999997
2020-08-15,16.08,2219.05,2202.9700000000003,16.58,460.14,443.56
2018-07-18,0.37,2190.38,2190.01,13.52,296.53,283.01
2011-08-22,23.25,2122.3,2099.05,23.810000000000002,179.82999999999998,156.01999999999998
2011-11-13,1.76,2069.04,2067.2799999999997,2.88,44.485,41.605
2018-08-18,19.53,2072.58,2053.0499999999997,19.79,416.22,396.43
2023-08-07,18.52,2030.41,2011.89,20.715,761.19,740.475
2011-07-13,25.56,2035.04,2009.48,26.285,70.265,43.980000000000004
2021-04-13,2.88,2011.48,2008.6,8.285,1426.145,1417.86
2021-04-11,-2.36,2001.0,2003.36,-0.995,77.65,78.64500000000001
2019-06-23,12.06,2013.17,2001.1100000000001,14.05,181.36,167.31
