date,year,month,resource_name,daily_revenue,capacity_mw,normalized_revenue_per_mw
2021-01-01,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-01,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-01,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-01,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-01,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-01,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-01,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-01,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-01,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-01,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-01,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-01,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-01,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-02,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-02,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-02,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-02,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-02,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-02,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-02,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-02,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-02,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-02,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-02,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-02,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-02,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-03,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-03,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-03,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-03,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-03,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-03,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-03,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-03,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-03,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-03,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-03,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-03,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-03,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-04,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-04,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-04,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-04,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-04,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-04,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-04,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-04,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-04,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-04,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-04,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-04,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-04,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-05,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-05,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-05,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-05,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-05,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-05,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-05,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-05,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-05,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-05,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-05,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-05,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-05,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-06,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-06,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-06,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-06,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-06,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-06,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-06,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-06,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-06,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-06,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-06,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-06,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-06,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-07,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-07,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-07,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
2021-01-07,2021,1,BRP_ZPT1_UNIT1,0.0,10.0,0.0
2021-01-07,2021,1,BRP_ZPT2_UNIT1,0.0,10.0,0.0
2021-01-07,2021,1,CASL_GAP_BATTERY1,0.0,10.0,0.0
2021-01-07,2021,1,EUNICE_BES1,0.0,40.0,0.0
2021-01-07,2021,1,FLVABES1_FLATU1,0.0,9.9,0.0
2021-01-07,2021,1,INDL_ESS,0.0,10.0,0.0
2021-01-07,2021,1,NWF_NBS,0.0,36.0,0.0
2021-01-07,2021,1,OCI_ALM1_ASTRO1,0.0,1.0,0.0
2021-01-07,2021,1,PYR_ESS,0.0,10.0,0.0
2021-01-07,2021,1,RHESS2_ESS_1,0.0,9.9,0.0
2021-01-08,2021,1,BLSUMMIT_BATTERY,0.0,30.0,0.0
2021-01-08,2021,1,BRP_PBL1_UNIT1,0.0,10.0,0.0
2021-01-08,2021,1,BRP_PBL2_UNIT1,0.0,10.0,0.0
