month_num,month_name,year,days_in_month,batteries_count,avg_normalized_hourly_revenue,std_dev_normalized_hourly_revenue,coeff_variation_hourly
1,January,2021,31,13,0.0,0.0,
2,February,2021,28,15,0.0,0.0,
3,March,2021,31,17,0.0,0.0,
4,April,2021,30,20,0.0,0.0,
5,May,2021,31,21,0.01297701845584767,0.27289804215435703,21.029332976819834
6,June,2021,30,24,0.0050704225352112674,0.1351055925073443,26.64582518894846
7,July,2021,31,29,0.0,0.0,
8,August,2021,31,31,0.0,0.0,
9,September,2021,30,32,0.0,0.0,
10,October,2021,31,35,0.24811403025629727,7.635682487743089,30.77489201177204
11,November,2021,30,35,0.0766004537802825,1.755856016848022,22.922266516650737
12,December,2021,31,40,0.5462548302709437,16.27517303122613,29.79410364784071
1,January,2022,31,41,0.03266593580607832,1.1609052615591275,35.53871128783373
2,February,2022,28,42,0.0,0.0,
3,March,2022,31,44,0.0,0.0,
4,April,2022,30,46,0.0,0.0,
5,May,2022,31,53,0.46006067105137743,17.365694100235686,37.74653038815475
6,June,2022,30,55,0.3180770650380882,4.264758520438719,13.407940996714224
7,July,2022,31,56,1.9560636936273237,16.06389290506999,8.212356763946227
8,August,2022,31,59,2.077299556146279,12.371792388145748,5.955709349448565
9,September,2022,30,63,1.299408305212063,10.019192370943626,7.710580524039745
10,October,2022,31,68,1.2295510961821479,7.7468480773489095,6.300549933551747
11,November,2022,30,69,0.9459734584811902,7.452803799811626,7.878449160484367
12,December,2022,31,69,0.582301721317435,12.599068711891606,21.636667470923328
1,January,2023,31,69,1.4021750589894149,9.950471801264468,7.096454709753602
2,February,2023,28,77,1.0418802954616295,7.645764605961126,7.338429029962113
3,March,2023,31,82,2.866263115682061,20.230915347025288,7.058289672129805
4,April,2023,30,84,2.841827780209888,19.59840549804431,6.8964085841249805
5,May,2023,31,91,5.089069544679613,14.63829346271126,2.876418436453658
6,June,2023,30,101,1.6826479737046605,9.611972914765367,5.71240869449528
7,July,2023,31,105,2.296174887950488,19.8963480996221,8.664996818853425
8,August,2023,31,110,12.747465644494063,107.0882748352315,8.400750221396791
9,September,2023,30,115,2.807397093336339,28.206073042097394,10.047055013716287
10,October,2023,30,120,1.7802658728554792,20.347205197751094,11.429306997339081
11,November,2023,30,129,3.185708753528562,19.354484034748836,6.075409126245887
12,December,2023,31,147,3.108214717276894,11.80633773029147,3.7984305474993048
1,January,2024,30,148,2.674835832746786,34.28270473881106,12.816750964340937
2,February,2024,28,153,1.4408481809774274,8.521820603212484,5.914447278846229
3,March,2024,31,157,4.4746801558777225,24.351157326954272,5.441988360881565
4,April,2024,30,159,5.444794260821051,25.775723225441585,4.734012341093439
5,May,2024,31,165,10.323401475515476,76.61856598716929,7.421833411098982
6,June,2024,29,172,5.690212134419729,21.92378799303004,3.8528946680940854
7,July,2024,30,176,5.617938002522237,17.48744375107113,3.112786887861693
8,August,2024,31,178,16.095553056796703,60.474846653491895,3.75723943377982
9,September,2024,30,182,7.6761099077931405,22.69392491207284,2.9564356405362204
10,October,2024,31,183,18.402986508180476,55.676312443268564,3.0253954931999427
11,November,2024,30,190,7.503480161297501,23.575409877570706,3.1419300605566
12,December,2024,31,192,5.980579809723811,18.5622926539003,3.103761381750965
