hour_of_day,sample_count,avg_load_mw,min_load_mw,max_load_mw,std_dev_mw
0,4,11945.6,11681.9,12045.3,176.5
1,4,11746.3,11590.8,11909.0,132.0
2,4,11657.9,11532.3,11804.3,140.6
3,4,11640.8,11449.0,11830.1,166.1
4,4,11808.1,11682.5,11992.3,132.6
5,4,12199.9,11839.0,12611.2,316.7
6,4,12835.5,12020.9,13529.3,654.7
7,4,13411.7,12358.5,14265.0,878.9
8,4,13564.8,12682.8,14316.8,750.4
9,4,13689.0,12832.5,14389.1,706.3
10,4,13661.7,12602.6,14387.9,793.4
11,4,13684.8,12697.5,14369.3,765.7
12,4,13623.7,12703.4,14258.3,748.4
13,4,13534.0,12636.9,14234.4,747.1
14,4,13396.0,12543.3,14127.7,726.4
15,4,13298.3,12443.4,13979.6,691.5
16,4,13413.8,12609.7,13983.6,620.0
17,4,13926.8,13153.8,14382.0,578.1
18,4,14128.2,13301.0,14728.3,633.4
19,4,13682.3,13208.1,14370.3,541.4
20,4,13443.5,12988.4,14101.7,524.2
21,4,13050.3,12716.9,13570.1,403.9
22,4,12672.7,12413.0,12996.6,248.7
23,4,12251.9,12024.9,12442.1,173.5
