hour,intervals_per_hour,hourly_min,hourly_max,hourly_avg
0,4,1.88,3.1,2.46
1,4,1.14,1.93,1.4574999999999998
2,4,0.48,1.94,1.3675000000000002
3,4,1.35,4.19,2.3600000000000003
4,4,4.46,7.32,5.9675
5,4,7.17,14.4,11.5625
6,4,11.01,19.16,14.912499999999998
7,4,17.64,18.1,17.98
8,4,21.37,22.82,22.3125
9,4,18.73,24.32,21.535
10,4,18.99,21.95,20.525
11,4,17.82,20.22,18.775
12,4,15.69,20.17,17.4725
13,4,13.3,20.98,16.09
14,4,9.94,13.52,12.142499999999998
15,4,2.32,7.55,4.365
16,4,-2.92,1.77,0.37250000000000005
17,4,-4.28,2.4,-1.02
18,4,2.38,12.27,6.672499999999999
19,4,3.4,16.29,10.78
20,4,3.38,20.36,12.78
21,4,14.63,22.18,18.2425
22,4,12.02,14.25,13.2475
23,4,6.78,13.26,10.2825
