hour_of_day,avg_price,min_price,max_price,hour_count
0,14.98,7.91,19.94,4
1,13.02,5.91,18.37,4
2,12.62,6.62,17.79,4
3,12.55,6.04,17.63,4
4,13.46,8.46,17.88,4
5,15.41,13.55,18.37,4
6,15.65,12.97,19.43,4
7,12.62,7.77,17.66,4
8,7.16,'-2.03,12.71,4
9,4.35,'-3.86,8.67,4
10,6.64,'-1.76,10.81,4
11,9.93,'-1.33,17.00,4
12,11.73,1.43,20.39,4
13,15.78,4.59,26.82,4
14,16.82,7.07,28.38,4
15,19.29,8.14,30.89,4
16,19.39,6.28,36.94,4
17,18.94,5.75,40.17,4
18,19.90,5.09,43.69,4
19,46.08,21.07,88.75,4
20,54.20,36.51,87.11,4
21,32.59,27.86,44.66,4
22,25.40,21.37,32.33,4
23,19.27,13.86,24.99,4
