year,month,avg_monthly_solar_mw,max_monthly_solar_mw,total_monthly_solar_mwh,hourly_observations
2020,1,46.09198645598194,157.0,81675.0,1772
2020,2,57.446185997910135,169.0,109952.0,1914
2020,3,62.558879938626774,185.0,163091.0,2607
2020,4,62.25611510791367,221.0,173072.0,2780
2020,5,100.68034557235421,219.0,279690.0,2778
2020,6,74.70905361851743,219.0,254982.0,3413
2020,7,76.16781104092283,206.0,277327.0,3641
2020,8,82.4815505031681,205.0,221298.0,2683
2020,9,76.7301704966642,206.0,207018.0,2698
2020,10,71.66351606805293,209.0,151640.0,2116
2020,11,69.92953523238381,229.0,139929.0,2001
2020,12,49.63408393039918,236.0,96985.0,1954
2021,1,66.7629179331307,257.0,131790.0,1974
2021,2,58.649028077753776,278.0,108618.0,1852
2021,3,114.19188560026605,295.0,343375.0,3007
2021,4,101.54300518134716,300.0,293967.0,2895
2021,5,128.73460049278424,304.0,365735.0,2841
2021,6,133.10290556900728,319.0,439772.0,3304
2021,7,75.49536538046993,324.0,350223.0,4639
2021,8,116.37590027700831,318.0,420117.0,3610
2021,9,110.33860555196901,347.0,341829.0,3098
2021,10,101.73277182235834,377.0,265726.0,2612
2021,11,97.3393220338983,352.0,287151.0,2950
2021,12,62.84932533733134,313.0,167682.0,2668
2022,1,50.23517382413088,342.0,221085.0,4401
2022,2,99.97196559413825,395.0,313812.0,3139
2022,3,157.32364810330913,481.0,584772.0,3717
2022,4,197.2407883461868,509.0,690540.0,3501
2022,5,179.08586215008233,520.0,761294.0,4251
2022,6,196.26705276705277,498.0,914997.0,4662
2022,7,166.75221001875167,494.0,1244972.0,7466
2022,8,194.3021001615509,514.0,962184.0,4952
2022,9,161.0358331701586,527.0,822410.0,5107
2022,10,133.90989433237272,516.0,697001.0,5205
2022,11,91.87413730475845,482.0,505859.0,5506
2022,12,81.69427191166322,408.0,355125.0,4347
2023,1,42.05654482974071,411.0,269246.0,6402
2023,2,79.3342191652337,477.0,507501.0,6397
2023,3,137.1271654994471,535.0,744052.0,5426
2023,4,148.97284084736557,536.0,822777.0,5523
2023,5,208.1294874084658,558.0,1165317.0,5599
2023,6,156.309543032456,538.0,968025.0,6193
2023,7,156.77177378754826,498.0,934203.0,5959
2023,8,167.40090711891145,501.0,848890.0,5071
2023,9,118.22180515270432,500.0,692898.0,5861
2023,10,97.99223163841808,508.0,693785.0,7080
2023,11,104.26954579300074,493.0,560136.0,5372
2023,12,66.20561272217026,457.0,353869.0,5345
2024,1,56.86463515754561,475.0,274315.0,4824
2024,2,146.69166511973268,611.0,790228.0,5387
2024,3,164.1180991217064,688.0,1046417.0,6376
2024,4,209.3534142879672,747.0,1327510.0,6341
2024,5,212.77233201581026,750.0,1345785.0,6325
2024,6,237.129123468426,788.0,1509564.0,6366
2024,7,250.04383886255926,777.0,1688296.0,6752
2024,8,270.97325941627264,763.0,1661879.0,6133
2024,9,220.70714157222523,790.0,1226911.0,5559
2024,10,238.1447092469018,746.0,1249069.0,5245
2024,11,159.31064851881504,725.0,795916.0,4996
2024,12,96.54741661216481,644.0,590484.0,6116
