year,fuel_category_rollup,total_generation_mwh,hourly_observations
2020,Coal,917558.0,15310
2020,Hydro,42694716.0,52943
2020,Natural Gas,301703381.0,52943
2020,Nuclear,154468602.0,52943
2020,Oil,959762.0,10304
2020,Other,261389.0,35701
2020,Renewables,57416060.0,242067
2021,Coal,3407767.0,21069
2021,Hydro,42499891.0,56809
2021,Natural Gas,353805063.0,56809
2021,Nuclear,175576924.0,56809
2021,Oil,1451753.0,11536
2021,Other,458994.0,43433
2021,Renewables,63156501.0,262680
2022,Coal,2360657.0,26120
2022,Hydro,59618866.0,74854
2022,Natural Gas,468654530.0,74854
2022,Nuclear,236592465.0,74854
2022,Oil,14091473.0,19959
2022,Other,695201.0,64994
2022,Renewables,81994263.0,355661
2023,Coal,1767495.0,33750
2023,Hydro,83444555.0,83215
2023,Natural Gas,528595135.0,83215
2023,Nuclear,220726313.0,83215
2023,Oil,3193218.0,13910
2023,Other,762550.0,75689
2023,Renewables,84619051.0,403057
2024,Coal,2291073.0,23909
2024,Hydro,75915013.0,86695
2024,Natural Gas,591763609.0,86695
2024,Nuclear,262793694.0,86695
2024,Oil,2994159.0,17755
2024,Other,1007809.0,79696
2024,Renewables,93288501.0,409248
