hour_of_day,year,avg_solar_mw_by_hour,max_solar_mw_by_hour,observations
0,2020,7.838983050847458,50.0,472
1,2020,9.717444717444717,50.0,407
2,2020,10.020253164556962,50.0,395
3,2020,10.033942558746736,50.0,383
4,2020,10.141304347826088,50.0,368
5,2020,9.980066445182723,50.0,301
6,2020,10.44078947368421,50.0,304
7,2020,9.891385767790263,50.0,267
8,2020,9.503472222222221,50.0,288
9,2020,6.215686274509804,51.0,510
10,2020,10.185151237396884,65.0,1091
11,2020,26.93933588761175,102.0,1566
12,2020,51.031352363125876,169.0,2137
13,2020,83.72583559168925,205.0,2214
14,2020,110.75353075170842,217.0,2195
15,2020,124.33603238866397,222.0,2223
16,2020,128.818138651472,230.0,2106
17,2020,126.62113279390766,236.0,2101
18,2020,116.04601682335478,215.0,2021
19,2020,97.30710900473933,208.0,2110
20,2020,68.45835113199487,181.0,2341
21,2020,38.1599819738621,132.0,2219
22,2020,18.313961729270023,91.0,1411
23,2020,8.168284789644012,68.0,927
0,2021,1.618736383442266,23.0,918
1,2021,1.9108910891089108,22.0,606
2,2021,1.9981308411214953,22.0,535
3,2021,1.9879759519038076,22.0,499
4,2021,1.9628180039138943,22.0,511
5,2021,2.138952164009112,22.0,439
6,2021,2.1798029556650245,22.0,406
7,2021,2.2684931506849315,22.0,365
8,2021,2.1406649616368285,22.0,391
9,2021,2.6114911080711356,23.0,731
10,2021,11.408892128279883,51.0,1372
11,2021,37.067212156633545,138.0,1711
12,2021,76.29591378536148,236.0,2227
13,2021,132.62479806138933,317.0,2476
14,2021,173.19570815450643,364.0,2330
15,2021,194.57407407407408,376.0,2322
16,2021,197.6051391862955,377.0,2335
17,2021,193.58963282937364,375.0,2315
18,2021,175.5771100309324,352.0,2263
19,2021,147.36221837088388,308.0,2308
20,2021,104.04507512520868,264.0,2396
21,2021,52.57078002476269,186.0,2423
22,2021,20.11770573566085,112.0,2005
23,2021,5.203703703703703,32.0,1566
0,2022,4.313545816733067,149.0,2510
1,2022,4.847731510254817,149.0,1609
2,2022,6.288372093023256,149.0,1290
3,2022,6.2119779353821905,149.0,1269
4,2022,6.356357927786499,149.0,1274
5,2022,5.164629176854116,149.0,1227
6,2022,5.017699115044247,27.0,1130
7,2022,5.067415730337078,26.0,1068
8,2022,5.344322344322344,26.0,1092
9,2022,5.712082262210797,36.0,1556
10,2022,18.132212630622444,99.0,2201
11,2022,59.95766366130929,238.0,2551
12,2022,130.56501496508147,396.0,3007
13,2022,223.0734794689719,502.0,3239
14,2022,286.04112952731737,519.0,3258
15,2022,317.544829740706,526.0,3201
16,2022,326.650343106675,527.0,3206
17,2022,317.4862091084028,526.0,3118
18,2022,297.9574672209786,518.0,3127
19,2022,250.22521936951577,509.0,3077
20,2022,177.4460920605499,451.0,3237
21,2022,94.68277376843426,316.0,3187
22,2022,33.32490013315579,172.0,3004
23,2022,9.845880681818182,149.0,2816
0,2023,5.7082814445828145,34.0,3212
1,2023,5.5889493511929675,32.0,2389
2,2023,5.826683826683826,29.0,2331
3,2023,5.594903339191564,28.0,2276
4,2023,5.553249097472924,28.0,2216
5,2023,5.301075268817204,28.0,2139
6,2023,5.145345943255351,28.0,2009
7,2023,5.111168831168831,28.0,1925
8,2023,5.169782718544719,28.0,1979
9,2023,5.829028290282903,28.0,2439
10,2023,16.006478008864644,104.0,2933
11,2023,53.00589777195282,271.0,3052
12,2023,123.79670832063395,428.0,3281
13,2023,207.77583738906384,522.0,3493
14,2023,273.05506419400854,549.0,3505
15,2023,306.05816937553465,555.0,3507
16,2023,317.55321603691954,558.0,3467
17,2023,312.5354579385587,556.0,3483
18,2023,286.21353426215524,551.0,3517
19,2023,237.22085362360355,537.0,3491
20,2023,162.17361310721472,462.0,3479
21,2023,89.75546334716459,342.0,3615
22,2023,34.1121103117506,178.0,3336
23,2023,11.613506658211795,76.0,3154
0,2024,4.720412770074169,41.0,3101
1,2024,3.8417346182357304,40.0,2698
2,2024,4.316589278176446,37.0,2369
3,2024,4.426544622425629,37.0,2185
4,2024,4.660514813016027,37.0,2059
5,2024,4.770560502881089,37.0,1909
6,2024,4.7304147465437785,37.0,1736
7,2024,4.61138014527845,39.0,1652
8,2024,4.451967592592593,37.0,1728
9,2024,6.677480916030534,47.0,2096
10,2024,27.786891837555288,203.0,2487
11,2024,91.24818276220145,417.0,2889
12,2024,189.78449258836943,612.0,3508
13,2024,315.893587994543,733.0,3665
14,2024,409.65342465753423,758.0,3650
15,2024,450.2698801742919,778.0,3672
16,2024,470.23787210584345,790.0,3628
17,2024,460.20726379027855,787.0,3662
18,2024,431.97905477980663,781.0,3724
19,2024,365.7578288100209,757.0,3832
20,2024,254.5140863965656,685.0,3727
21,2024,139.30202235231505,516.0,3758
22,2024,52.50145602795574,333.0,3434
23,2024,14.288526607197785,125.0,3251
