month,year,avg_monthly_solar_mw,max_monthly_solar_mw,median_monthly_solar_mw,observations
1,2020,46.09198645598194,157.0,31.0,1772
2,2020,57.446185997910135,169.0,42.0,1914
3,2020,62.558879938626774,185.0,41.0,2607
4,2020,62.25611510791367,221.0,39.0,2780
5,2020,100.68034557235421,219.0,96.0,2778
6,2020,74.70905361851743,219.0,55.0,3413
7,2020,76.16781104092283,206.0,63.0,3641
8,2020,82.4815505031681,205.0,73.0,2683
9,2020,76.7301704966642,206.0,63.0,2698
10,2020,71.66351606805293,209.0,49.0,2116
11,2020,69.92953523238381,229.0,37.0,2001
12,2020,49.63408393039918,236.0,26.0,1954
1,2021,66.7629179331307,257.0,44.0,1974
2,2021,58.649028077753776,278.0,25.0,1852
3,2021,114.19188560026605,295.0,94.0,3007
4,2021,101.54300518134716,300.0,77.0,2895
5,2021,128.73460049278424,304.0,118.0,2841
6,2021,133.10290556900728,319.0,132.0,3304
7,2021,75.49536538046993,324.0,34.0,4639
8,2021,116.37590027700831,318.0,104.0,3610
9,2021,110.33860555196901,347.0,76.0,3098
10,2021,101.73277182235834,377.0,62.0,2612
11,2021,97.3393220338983,352.0,28.0,2950
12,2021,62.84932533733134,313.0,22.5,2668
1,2022,50.23517382413088,342.0,5.0,4401
2,2022,99.97196559413825,395.0,42.0,3139
3,2022,157.32364810330913,481.0,101.0,3717
4,2022,197.2407883461868,509.0,179.0,3501
5,2022,179.08586215008233,520.0,119.0,4251
6,2022,196.26705276705277,498.0,187.5,4662
7,2022,166.75221001875167,494.0,91.0,7466
8,2022,194.3021001615509,514.0,175.5,4952
9,2022,161.0358331701586,527.0,92.0,5107
10,2022,133.90989433237272,516.0,42.0,5205
11,2022,91.87413730475845,482.0,5.0,5506
12,2022,81.69427191166322,408.0,20.0,4347
1,2023,42.05654482974071,411.0,4.0,6402
2,2023,79.3342191652337,477.0,9.0,6397
3,2023,137.1271654994471,535.0,52.0,5426
4,2023,148.97284084736557,536.0,73.0,5523
5,2023,208.1294874084658,558.0,151.0,5599
6,2023,156.309543032456,538.0,103.0,6193
7,2023,156.77177378754826,498.0,101.0,5959
8,2023,167.40090711891145,501.0,123.0,5071
9,2023,118.22180515270432,500.0,30.0,5861
10,2023,97.99223163841808,508.0,12.0,7080
11,2023,104.26954579300074,493.0,10.0,5372
12,2023,66.20561272217026,457.0,8.0,5345
1,2024,56.86463515754561,475.0,6.0,4824
2,2024,146.69166511973268,611.0,29.0,5387
3,2024,164.1180991217064,688.0,36.0,6376
4,2024,209.3534142879672,747.0,98.0,6341
5,2024,212.77233201581026,750.0,130.0,6325
6,2024,237.129123468426,788.0,123.0,6366
7,2024,250.04383886255926,777.0,163.0,6752
8,2024,270.97325941627264,763.0,223.0,6133
9,2024,220.70714157222523,790.0,84.0,5559
10,2024,238.1447092469018,746.0,130.0,5245
11,2024,159.31064851881504,725.0,20.0,4996
12,2024,96.54741661216481,644.0,6.0,6116
