year,month,avg_monthly_generation_mw,monthly_generation_twh
2021,1,2588.40673690958,1925.1275105765003
2021,2,2229.8687229397315,1498.4717818154995
2021,3,3528.7217288571887,2625.3689662697484
2021,4,3089.1130195479122,2224.161374074497
2021,5,3059.0967524979847,2275.9679838585007
2021,6,2416.641904124303,1739.9821709694982
2021,7,1804.0863937731865,1342.2402769672508
2021,8,2477.843139130043,1843.515295512752
2021,9,2350.397523492012,1692.2862169142486
2021,10,2891.9756191589377,2151.6298606542496
2021,11,2960.690895406598,2131.6974446927507
2021,12,3225.7798691565854,2399.9802226524994
2022,1,2833.9215121975803,2108.4376050749997
2022,2,3067.464413122397,2061.336085618251
2022,3,3698.705128671031,2751.836615731247
2022,4,4069.6375016565953,2930.1390011927488
2022,5,4184.012346581657,3112.905185856753
2022,6,3356.930548079166,2416.9899946169994
2022,7,2941.6054190598106,2188.554431780499
2022,8,2109.9378450440213,1569.793756712752
2022,9,1996.9900233322903,1437.832816799249
2022,10,2478.5881587782233,1844.069590130998
2022,11,3126.2414787553835,2250.893864703876
2022,12,2882.978549968752,2144.936041176751
2023,1,3663.128289058803,2725.36744705975
2023,2,3783.7863372715815,2542.7044186465027
2023,3,3726.5200908403963,2772.530947585255
2023,4,3546.224999393053,2553.2819995629984
2023,5,2498.1330316649846,1858.6109755587486
2023,6,2842.3290417500007,2046.4769100600006
2023,7,3011.501322042003,2240.55698359925
2023,8,2654.3849995171363,1974.8624396407492
2023,9,2505.842312961457,1804.206465332249
2023,10,2949.1482164428785,2194.1662730335015
2023,11,2712.8421514904508,1953.2463490731245
2023,12,3138.857369247985,2335.309882720501
2024,1,2872.517896788645,2137.1533152107518
2024,2,3931.161588147273,2736.0884653505022
2024,3,3433.5349909069214,2554.5500332347497
2024,4,4036.1853499322924,2906.0534519512503
2024,5,3396.0065928319914,2526.6289050670016
2024,6,3479.4590264847197,2505.210499068998
2024,7,2729.191980709678,2030.5188336480003
2024,8,2537.4794127641126,1887.8846830964999
2024,9,2072.2877977892344,1492.0472144082487
2024,10,3184.7539634509412,2369.4569488075003
2024,11,3434.4109903105896,2472.7759130236245
2024,12,3101.7585923424076,2307.7083927027516
