timestamp,lmp,hour_of_day
2023-01-01 00:00:00,10.36,0
2023-01-01 01:00:00,9.84,1
2023-01-01 02:00:00,8.58,2
2023-01-01 03:00:00,8.19,3
2023-01-01 04:00:00,8.34,4
2023-01-01 05:00:00,8.59,5
2023-01-01 06:00:00,13.85,6
2023-01-01 07:00:00,14.45,7
2023-01-01 08:00:00,15.08,8
2023-01-01 09:00:00,15.03,9
2023-01-01 10:00:00,17.28,10
2023-01-01 11:00:00,17.88,11
2023-01-01 12:00:00,17.57,12
2023-01-01 13:00:00,18.26,13
2023-01-01 14:00:00,19.52,14
2023-01-01 15:00:00,17.24,15
2023-01-01 16:00:00,25.1,16
2023-01-01 17:00:00,33.19,17
2023-01-01 18:00:00,23.89,18
2023-01-01 19:00:00,18.34,19
2023-01-01 20:00:00,16.1,20
2023-01-01 21:00:00,16.74,21
2023-01-01 22:00:00,13.76,22
2023-01-01 23:00:00,9.7,23
2023-01-02 00:00:00,9.57,0
2023-01-02 01:00:00,5.02,1
2023-01-02 02:00:00,3.85,2
2023-01-02 03:00:00,3.72,3
2023-01-02 04:00:00,7.37,4
2023-01-02 05:00:00,8.84,5
2023-01-02 06:00:00,12.93,6
2023-01-02 07:00:00,15.92,7
2023-01-02 08:00:00,17.75,8
2023-01-02 09:00:00,18.73,9
2023-01-02 10:00:00,18.68,10
2023-01-02 11:00:00,19.41,11
2023-01-02 12:00:00,18.57,12
2023-01-02 13:00:00,14.93,13
2023-01-02 14:00:00,13.04,14
2023-01-02 15:00:00,14.26,15
2023-01-02 16:00:00,17.01,16
2023-01-02 17:00:00,33.58,17
2023-01-02 18:00:00,24.75,18
2023-01-02 19:00:00,18.63,19
2023-01-02 20:00:00,17.47,20
2023-01-02 21:00:00,16.91,21
2023-01-02 22:00:00,15.1,22
2023-01-02 23:00:00,9.96,23
2023-01-03 00:00:00,11.54,0
2023-01-03 01:00:00,8.58,1
2023-01-03 02:00:00,4.56,2
2023-01-03 03:00:00,9.49,3
2023-01-03 04:00:00,11.42,4
2023-01-03 05:00:00,16.34,5
2023-01-03 06:00:00,20.62,6
2023-01-03 07:00:00,28.31,7
2023-01-03 08:00:00,20.55,8
2023-01-03 09:00:00,16.44,9
2023-01-03 10:00:00,14.41,10
2023-01-03 11:00:00,13.78,11
2023-01-03 12:00:00,15.0,12
2023-01-03 13:00:00,15.68,13
2023-01-03 14:00:00,15.96,14
2023-01-03 15:00:00,17.16,15
2023-01-03 16:00:00,19.38,16
2023-01-03 17:00:00,52.56,17
2023-01-03 18:00:00,40.52,18
2023-01-03 19:00:00,31.62,19
2023-01-03 20:00:00,29.56,20
2023-01-03 21:00:00,22.85,21
2023-01-03 22:00:00,18.78,22
2023-01-03 23:00:00,17.51,23
2023-01-04 00:00:00,15.41,0
2023-01-04 01:00:00,10.75,1
2023-01-04 02:00:00,10.04,2
2023-01-04 03:00:00,10.05,3
2023-01-04 04:00:00,12.16,4
2023-01-04 05:00:00,17.78,5
2023-01-04 06:00:00,28.21,6
2023-01-04 07:00:00,33.98,7
2023-01-04 08:00:00,22.32,8
2023-01-04 09:00:00,19.34,9
2023-01-04 10:00:00,17.38,10
2023-01-04 11:00:00,16.59,11
2023-01-04 12:00:00,16.69,12
2023-01-04 13:00:00,16.61,13
2023-01-04 14:00:00,17.58,14
2023-01-04 15:00:00,18.93,15
2023-01-04 16:00:00,28.63,16
2023-01-04 17:00:00,40.4,17
2023-01-04 18:00:00,41.57,18
2023-01-04 19:00:00,35.0,19
2023-01-04 20:00:00,33.53,20
2023-01-04 21:00:00,29.53,21
2023-01-04 22:00:00,25.92,22
2023-01-04 23:00:00,24.35,23
2023-01-05 00:00:00,27.47,0
2023-01-05 01:00:00,24.23,1
2023-01-05 02:00:00,24.6,2
2023-01-05 03:00:00,26.72,3
