year,month,total_revenue
2021,1,32324521.76131946
2021,2,1083101340.5411873
2021,3,35670102.727857
2021,4,53020658.658361524
2021,5,36949719.997462705
2021,6,41972747.11498589
2021,7,38349864.30630759
2021,8,52779916.28894617
2021,9,56985155.87416025
2021,10,48444613.21374207
2021,11,55857681.29925328
2021,12,35760391.53501814
2022,1,39393360.62185834
2022,2,35896070.64758512
2022,3,43129614.73218474
2022,4,86825574.74902053
2022,5,150960540.47324806
2022,6,120727032.19458218
2022,7,221508569.42776078
2022,8,122037563.90412636
2022,9,79923904.63128628
2022,10,61222763.98432479
2022,11,57983912.90222112
2022,12,90068053.893606
2023,1,40150083.71484838
2023,2,27755075.87124012
2023,3,47580020.257029295
2023,4,30587825.967953518
2023,5,50562765.79117452
2023,6,84684830.85681742
2023,7,85122972.63424909
2023,8,267530855.89653486
2023,9,108671771.80024925
2023,10,53533715.529636264
2023,11,46305299.864358924
2023,12,43634569.909416705
2024,1,51662540.91547491
2024,2,33526223.849166043
2024,3,43728368.1024172
2024,4,38578974.74231072
2024,5,58773913.429391205
2024,6,50238773.669475555
2024,7,39760856.671638265
2024,8,61196442.97010151
2024,9,32878451.84807187
2024,10,30220575.95431768
2024,11,51432619.38233736
2024,12,53183255.59115364
