year,fuel_category,total_generation_mw,percentage_of_total
2020,Hydro,42694716.0,42.647
2020,Landfill Gas,1354419.0,1.353
2020,Refuse,18349493.0,18.329
2020,Solar,2156659.0,2.154
2020,Wind,21598080.0,21.574
2020,Wood,13957409.0,13.942
2021,Hydro,42499891.0,40.225
2021,Landfill Gas,1751621.0,1.658
2021,Refuse,19223906.0,18.195
2021,Solar,3515985.0,3.328
2021,Wind,23004728.0,21.773
2021,Wood,15660261.0,14.822
2022,Hydro,59618866.0,42.100
2022,Landfill Gas,2315269.0,1.635
2022,Refuse,23835076.0,16.831
2022,Solar,8074051.0,5.701
2022,Wind,31847851.0,22.489
2022,Wood,15922016.0,11.243
2023,Hydro,83444555.0,49.651
2023,Landfill Gas,2767093.0,1.646
2023,Refuse,25396530.0,15.111
2023,Solar,8560699.0,5.094
2023,Wind,30956926.0,18.420
2023,Wood,16937803.0,10.078
2024,Hydro,75915013.0,44.866
2024,Landfill Gas,2205697.0,1.304
2024,Refuse,26181049.0,15.473
2024,Solar,13506374.0,7.982
2024,Wind,34025608.0,20.109
2024,Wood,17369773.0,10.266
