hour_of_day,avg_price,min_price,max_price,count
0,59.2875,50.6,65.85,4
1,54.50000000000001,46.89,60.63,4
2,52.1325,44.52,57.27,4
3,50.37,43.43,55.46,4
4,49.455,42.19,54.43,4
5,48.339999999999996,42.04,54.4,4
6,49.89,43.07,58.27,4
7,51.815000000000005,45.07,62.3,4
8,57.11,47.17,71.66,4
9,61.4325,48.91,84.51,4
10,66.16,52.43,89.32,4
11,72.3875,57.22,97.97,4
12,79.45249999999999,66.0,101.0,4
13,83.2625,70.27,104.76,4
14,93.325,71.06,122.61,4
15,105.2225,80.89,148.83,4
16,116.135,93.4,162.94,4
17,127.36250000000001,103.09,176.27,4
18,110.34,91.03,147.71,4
19,95.6775,80.45,131.0,4
20,83.565,69.89,105.38,4
21,77.82249999999999,66.6,101.0,4
22,68.9075,57.24,91.83,4
23,66.52250000000001,55.43,86.72,4
