timestamp,total_load_mw,hour_of_day,day_of_week,month,year
2002-01-01 01:00:00,29670.16291149403,1,2,1,2002
2002-01-01 02:00:00,29136.83370342457,2,2,1,2002
2002-01-01 03:00:00,28703.905524746166,3,2,1,2002
2002-01-01 04:00:00,28541.822450346746,4,2,1,2002
2002-01-01 05:00:00,28731.40647793383,5,2,1,2002
2002-01-01 06:00:00,29309.65531074683,6,2,1,2002
2002-01-01 07:00:00,30088.01687392202,7,2,1,2002
2002-01-01 08:00:00,30600.47154149116,8,2,1,2002
2002-01-01 09:00:00,31231.956890095647,9,2,1,2002
2002-01-01 10:00:00,32348.55298508708,10,2,1,2002
2002-01-01 11:00:00,33043.244149464546,11,2,1,2002
2002-01-01 12:00:00,33094.589001340384,12,2,1,2002
2002-01-01 13:00:00,32556.933304119077,13,2,1,2002
2002-01-01 14:00:00,31774.444423712557,14,2,1,2002
2002-01-01 15:00:00,31123.388573510816,15,2,1,2002
2002-01-01 16:00:00,30993.85937850588,16,2,1,2002
2002-01-01 17:00:00,31330.527273356027,17,2,1,2002
2002-01-01 18:00:00,33288.64148244301,18,2,1,2002
2002-01-01 19:00:00,35308.878322161305,19,2,1,2002
2002-01-01 20:00:00,35452.81141526655,20,2,1,2002
2002-01-01 21:00:00,35318.39715863807,21,2,1,2002
2002-01-01 22:00:00,34474.06006706858,22,2,1,2002
2002-01-01 23:00:00,32972.060750006014,23,2,1,2002
2002-01-02 00:00:00,31261.181269999997,0,3,1,2002
2002-01-02 01:00:00,30288.558683178297,1,3,1,2002
2002-01-02 02:00:00,29971.284542298396,2,3,1,2002
2002-01-02 03:00:00,30109.592810118484,3,3,1,2002
2002-01-02 04:00:00,30545.708359552595,4,3,1,2002
2002-01-02 05:00:00,31522.22332294219,5,3,1,2002
2002-01-02 06:00:00,33692.21165452821,6,3,1,2002
2002-01-02 07:00:00,36776.5662007799,7,3,1,2002
2002-01-02 08:00:00,38311.999487923546,8,3,1,2002
2002-01-02 09:00:00,38437.59333208293,9,3,1,2002
2002-01-02 10:00:00,38512.163478950584,10,3,1,2002
2002-01-02 11:00:00,38224.56658033367,11,3,1,2002
2002-01-02 12:00:00,37084.223784048816,12,3,1,2002
2002-01-02 13:00:00,36178.894883992514,13,3,1,2002
2002-01-02 14:00:00,35454.338936028595,14,3,1,2002
2002-01-02 15:00:00,34875.32935544154,15,3,1,2002
2002-01-02 16:00:00,34809.9458672019,16,3,1,2002
2002-01-02 17:00:00,35552.22720480114,17,3,1,2002
2002-01-02 18:00:00,37758.8816624077,18,3,1,2002
2002-01-02 19:00:00,40438.50937861759,19,3,1,2002
2002-01-02 20:00:00,40703.7233883083,20,3,1,2002
2002-01-02 21:00:00,40515.80118852563,21,3,1,2002
2002-01-02 22:00:00,39730.461190279486,22,3,1,2002
2002-01-02 23:00:00,37929.15229238742,23,3,1,2002
2002-01-03 00:00:00,36052.14163,0,4,1,2002
2002-01-03 01:00:00,34987.6528478885,1,4,1,2002
2002-01-03 02:00:00,34737.4446868721,2,4,1,2002
2002-01-03 03:00:00,34903.49523425952,3,4,1,2002
2002-01-03 04:00:00,35402.047597542674,4,4,1,2002
2002-01-03 05:00:00,36472.70660141216,5,4,1,2002
2002-01-03 06:00:00,38816.344820000966,6,4,1,2002
2002-01-03 07:00:00,41896.92309658682,7,4,1,2002
2002-01-03 08:00:00,43472.26122475518,8,4,1,2002
2002-01-03 09:00:00,42337.115529990166,9,4,1,2002
2002-01-03 10:00:00,40736.535651544946,10,4,1,2002
2002-01-03 11:00:00,39017.09495937224,11,4,1,2002
2002-01-03 12:00:00,37221.72166513599,12,4,1,2002
2002-01-03 13:00:00,35285.993598331406,13,4,1,2002
2002-01-03 14:00:00,33714.6040976368,14,4,1,2002
2002-01-03 15:00:00,32460.886706403282,15,4,1,2002
2002-01-03 16:00:00,31725.770823601342,16,4,1,2002
2002-01-03 17:00:00,31925.564725741613,17,4,1,2002
2002-01-03 18:00:00,34300.12291485961,18,4,1,2002
2002-01-03 19:00:00,38060.168146431555,19,4,1,2002
2002-01-03 20:00:00,38927.89933520954,20,4,1,2002
2002-01-03 21:00:00,39275.62698193071,21,4,1,2002
2002-01-03 22:00:00,38598.84374404752,22,4,1,2002
2002-01-03 23:00:00,36709.761138606664,23,4,1,2002
2002-01-04 00:00:00,34931.272990000005,0,5,1,2002
2002-01-04 01:00:00,33835.820214993,1,5,1,2002
2002-01-04 02:00:00,33521.1352274144,2,5,1,2002
2002-01-04 03:00:00,33517.0168731336,3,5,1,2002
2002-01-04 04:00:00,33800.188792569665,4,5,1,2002
2002-01-04 05:00:00,34662.70090630011,5,5,1,2002
2002-01-04 06:00:00,36729.53363705127,6,5,1,2002
2002-01-04 07:00:00,39619.46531179316,7,5,1,2002
2002-01-04 08:00:00,40980.56778937156,8,5,1,2002
2002-01-04 09:00:00,40223.60951453629,9,5,1,2002
2002-01-04 10:00:00,38890.25304409016,10,5,1,2002
2002-01-04 11:00:00,37504.779848403574,11,5,1,2002
2002-01-04 12:00:00,35966.31078835226,12,5,1,2002
2002-01-04 13:00:00,34463.94950804977,13,5,1,2002
2002-01-04 14:00:00,33220.39602594544,14,5,1,2002
2002-01-04 15:00:00,32409.69085912136,15,5,1,2002
2002-01-04 16:00:00,31889.466069949805,16,5,1,2002
2002-01-04 17:00:00,32057.02666270815,17,5,1,2002
2002-01-04 18:00:00,33350.91894541768,18,5,1,2002
2002-01-04 19:00:00,34710.36182282038,19,5,1,2002
2002-01-04 20:00:00,34127.28720912551,20,5,1,2002
2002-01-04 21:00:00,33131.83342338778,21,5,1,2002
2002-01-04 22:00:00,32000.559173277576,22,5,1,2002
2002-01-04 23:00:00,30261.772564934112,23,5,1,2002
2002-01-05 00:00:00,28290.359650000002,0,6,1,2002
2002-01-05 01:00:00,26662.997619970007,1,6,1,2002
2002-01-05 02:00:00,25764.637127708163,2,6,1,2002
2002-01-05 03:00:00,25226.302354832525,3,6,1,2002
2002-01-05 04:00:00,24992.46915518153,4,6,1,2002
