hour_of_day,avg_load_mw,std_load_mw,min_load_mw,max_load_mw,sample_count
0,46909.54408797043,8865.983528817607,30886.273245000004,72899.384561,2161
1,44674.73171460586,8453.053713341147,29328.684625,94984.90290199999,2161
2,42914.51857106403,7796.743186030855,28334.542267999997,72020.35480500001,2161
3,41822.602128563296,7418.237418459207,27925.217753,72288.239095,2155
4,41238.218202833516,7153.426812660654,27800.149736,72643.214795,2161
5,41336.299594643795,6997.204935656073,27546.571834,74019.45892599999,2161
6,42385.0983228813,6934.598082513538,27491.364599,75823.787282,2161
7,44179.52884582135,6960.974999914221,27604.30406,79211.853725,2161
8,45286.791914140646,6944.441249340947,27993.846054999998,80524.699423,2161
9,46532.1858055621,6984.313036994605,29492.486705,79228.48516000001,2161
10,48153.06605206149,7406.921425995983,31545.41939,77226.133721,2161
11,49832.76471464339,8344.17090988458,33418.518167,76768.48100100001,2161
12,51434.442878695125,9608.990872748158,34533.656242,76886.704537,2161
13,52901.458713745,10940.259105562802,33416.78719,79961.53587100001,2161
14,54252.78176339894,12132.197800345542,32427.714925999997,82401.639391,2161
15,55249.4536802838,12977.958001829908,31658.880213999993,83891.160296,2161
16,55943.24168448447,13433.347461496294,31387.190667,84776.67331900001,2161
17,56442.96993515117,13562.39561197387,31585.602575,85302.245069,2161
18,56625.05407185113,13198.273923340557,32257.466332000004,85464.116393,2161
19,56224.0271919065,12360.90375615574,33901.399312999994,84432.079626,2161
20,55050.8421765585,11456.490031883088,35064.257205999995,82024.64052599999,2161
21,53829.225481788075,10620.553064007148,34811.484087,79661.64951500001,2161
22,52229.34787230725,10124.941241041237,34037.265108,77348.46598799998,2161
23,49676.937065641825,9483.55147496419,32601.603137,74226.617851,2161
