timestamp,total_load_mw,hour_of_day,day_of_week,month
2024-12-01 00:00:00,45099.745231999994,0,0,12
2024-12-01 01:00:00,43918.070514,1,0,12
2024-12-01 02:00:00,43155.00537200001,2,0,12
2024-12-01 03:00:00,42863.505831999995,3,0,12
2024-12-01 04:00:00,42786.190741000006,4,0,12
2024-12-01 05:00:00,43024.08463900001,5,0,12
2024-12-01 06:00:00,43629.16800399999,6,0,12
2024-12-01 07:00:00,44753.586364999996,7,0,12
2024-12-01 08:00:00,45855.15342100001,8,0,12
2024-12-01 09:00:00,46004.113358,9,0,12
2024-12-01 10:00:00,45533.496304,10,0,12
2024-12-01 11:00:00,44975.793435,11,0,12
2024-12-01 12:00:00,44629.852290999996,12,0,12
2024-12-01 13:00:00,44436.200747999996,13,0,12
2024-12-01 14:00:00,44509.874806,14,0,12
2024-12-01 15:00:00,44524.719915,15,0,12
2024-12-01 16:00:00,44682.238443,16,0,12
2024-12-01 17:00:00,45266.313414000004,17,0,12
2024-12-01 18:00:00,47054.103567,18,0,12
2024-12-01 19:00:00,48441.956831,19,0,12
2024-12-01 20:00:00,48364.469452000005,20,0,12
2024-12-01 21:00:00,47940.909358000004,21,0,12
2024-12-01 22:00:00,47045.702077,22,0,12
2024-12-01 23:00:00,45359.616881,23,0,12
2024-12-02 00:00:00,43673.532219,0,1,12
2024-12-02 01:00:00,42392.112914,1,1,12
2024-12-02 02:00:00,41863.628844,2,1,12
2024-12-02 03:00:00,42045.112162,3,1,12
2024-12-02 04:00:00,42405.001281,4,1,12
2024-12-02 05:00:00,43866.786649,5,1,12
2024-12-02 06:00:00,46400.959813999994,6,1,12
2024-12-02 07:00:00,49698.399940999996,7,1,12
2024-12-02 08:00:00,51087.273379,8,1,12
2024-12-02 09:00:00,51320.62816,9,1,12
2024-12-02 10:00:00,50158.516618999995,10,1,12
2024-12-02 11:00:00,49050.712095999996,11,1,12
2024-12-02 12:00:00,47938.163242999995,12,1,12
2024-12-02 13:00:00,47216.838936,13,1,12
2024-12-02 14:00:00,47011.03848899999,14,1,12
2024-12-02 15:00:00,46860.36440500001,15,1,12
2024-12-02 16:00:00,46758.180694,16,1,12
2024-12-02 17:00:00,47163.113531999996,17,1,12
2024-12-02 18:00:00,48685.838908,18,1,12
2024-12-02 19:00:00,50090.196745999994,19,1,12
2024-12-02 20:00:00,50015.174298000005,20,1,12
2024-12-02 21:00:00,49430.661287,21,1,12
2024-12-02 22:00:00,48439.282387,22,1,12
2024-12-02 23:00:00,46436.85197900001,23,1,12
2024-12-03 00:00:00,44705.54419099999,0,2,12
