resource_name,region,capacity_mw,total_revenue_2024,revenue_per_mw
ALP_BESS_BESS1,WEST,103.0,872211.3727626649,8468.071580220048
ALVIN_UNIT1,COASTAL,10.0,551747.9379973995,55174.79379973995
ANCHOR_BESS1,WEST,35.0,1303666.6488321952,37247.61853806272
ANCHOR_BESS2,WEST,36.0,1113550.6367619503,30931.9621322764
ANEM_ESS_BESS1,SOUTH,201.0,5579690.67542947,27759.655101639153
ANGLETON_UNIT1,COASTAL,10.0,667055.8756598078,66705.58756598078
ANG_SLR_BESS1,WEST,103.0,79648.1987488239,773.2834829982902
AZURE_BESS1,WEST,78.0,2882330.6795774037,36952.95743047953
BATCAVE_BES1,SOUTH,101.0,6618392.41084343,65528.63773112307
BAY_CITY_BESS,COASTAL,10.0,403472.3171437106,40347.23171437106
BELD_BELU1,WEST,9.0,790627.5024017284,87847.50026685871
BIG_STAR_BESS,SOUTH,80.0,1220747.692414571,15259.346155182138
BLSUMMIT_BATTERY,WEST,30.0,1462526.4895708777,48750.88298569593
BLUEJAY_BESS1,NORTH,52.0,1828587.228767169,35165.13901475325
BOCO_ESS_ESS1,WEST,154.0,4250666.953784851,27601.7334661354
BR_ARROW_BESS1,NORTH,49.0,599145.0726970683,12227.450463205476
BR_ARROW_BESS2,NORTH,53.0,644912.4853393622,12168.160100742683
BRAZORIA_UNIT1,COASTAL,10.0,667976.8053942944,66797.68053942945
BRP_PBL1_UNIT1,SOUTH,10.0,599976.1374987665,59997.613749876655
BRP_PBL2_UNIT1,SOUTH,10.0,692412.7061643191,69241.27061643191
BRP_ZPT1_UNIT1,SOUTH,10.0,658850.7556604225,65885.07556604224
BRP_ZPT2_UNIT1,SOUTH,10.0,461352.96010975866,46135.296010975864
BYRDR_ES_BESS1,COASTAL,51.0,2446075.3303597183,47962.26137960232
CAMWIND_BESS1,COASTAL,17.0,492422.05938231904,28966.00349307759
CASL_GAP_BATTERY1,WEST,10.0,653827.8627630242,65382.78627630242
CATARINA_BESS,SOUTH,10.0,820488.8357851722,82048.88357851721
CEDRVALE_BESS,WEST,10.0,734722.4727821508,73472.24727821509
CHISMGRD_BES1,NORTH,102.0,6810415.927715529,66768.78360505421
CISC_BESS,NORTH,10.0,139282.31977062067,13928.231977062067
CLO_BESS1,HOUSTON,102.0,1952887.1401027685,19145.952353948713
