hour_of_day,min_load_mw,max_load_mw,avg_load_mw,std_dev_mw
0,10819.44,11909.31,11438.63,533.88
1,10484.14,11634.19,11156.76,546.02
2,10365.82,11418.28,11002.10,510.48
3,10206.97,11428.47,10935.96,569.96
4,10086.53,11512.39,10956.63,642.37
5,10097.44,11832.96,11163.70,760.93
6,10194.60,12455.87,11618.58,992.91
7,10344.87,13285.91,12220.83,1292.95
8,10379.99,13658.66,12544.00,1472.96
9,10409.82,13594.70,12642.94,1497.57
10,10615.38,13487.66,12703.87,1393.99
11,10851.98,13452.06,12671.75,1227.22
12,11037.48,13448.31,12560.15,1055.54
13,11153.52,13315.75,12425.10,913.58
14,11138.28,13252.83,12338.16,881.40
15,11132.89,13094.92,12231.77,813.87
16,11219.91,13082.36,12207.90,763.23
17,11357.37,13101.70,12260.96,713.09
18,11843.42,13539.68,12698.39,692.55
19,12095.19,13621.87,12935.42,629.86
20,12046.07,13471.65,12871.10,597.75
21,11982.72,13175.86,12719.20,520.96
22,11839.35,12822.87,12445.50,438.93
23,11528.26,12347.50,12002.95,371.01
