hour,avg_hourly_price,min_hourly_price,max_hourly_price
0,2.46,1.88,3.1
1,1.4574999999999998,1.14,1.93
2,1.3675000000000002,0.48,1.94
3,2.3600000000000003,1.35,4.19
4,5.9675,4.46,7.32
5,11.5625,7.17,14.4
6,14.912499999999998,11.01,19.16
7,17.98,17.64,18.1
8,22.3125,21.37,22.82
9,21.535,18.73,24.32
10,20.525,18.99,21.95
11,18.775,17.82,20.22
12,17.4725,15.69,20.17
13,16.09,13.3,20.98
14,12.142499999999998,9.94,13.52
15,4.365,2.32,7.55
16,0.37250000000000005,-2.92,1.77
17,-1.02,-4.28,2.4
18,6.672499999999999,2.38,12.27
19,10.78,3.4,16.29
20,12.78,3.38,20.36
21,18.2425,14.63,22.18
22,13.2475,12.02,14.25
23,10.2825,6.78,13.26
