year,month,avg_wind_generation_mw,min_wind_generation_mw,max_wind_generation_mw
2021,1,2588.40673690958,229.199159,5668.751659
2021,2,2229.8687229397306,149.492903,5616.170983
2021,3,3528.7217288571887,554.826151,5529.50176
2021,4,3089.113019547911,213.348067,5546.189597
2021,5,3059.0967524979847,509.114956,5599.07049
2021,6,2416.641904124303,31.987129,5853.636465
2021,7,1804.086393773188,91.8283,4984.659504
2021,8,2477.8431391300433,86.448013,5819.412893
2021,9,2350.397523492012,160.138552,5093.965979
2021,10,2891.9756191589354,112.640357,5860.191576
2021,11,2960.690895406598,397.694886,5853.469169
2021,12,3225.7798691565854,61.941483,6128.002147
2022,1,2833.921512197579,66.619869,6053.611457
2022,2,3067.4644131224,142.336774,6290.64335
2022,3,3698.7051286710343,223.156513,6231.550204
2022,4,4069.6375016565953,529.336916,6435.694925
2022,5,4184.012346581658,362.84424,6725.864207
2022,6,3356.930548079169,396.154255,6522.655517
2022,7,2941.6054190598093,130.798649,5852.271575
2022,8,2109.937845044018,78.813767,6245.864186
2022,9,1996.99002333229,117.711529,5043.126784
2022,10,2478.5881587782237,122.166087,6357.957196
2022,11,3126.2414787553807,558.894782,6017.153873
2022,12,2882.978549968752,388.21795,6394.466667
2023,1,3663.128289058797,140.051444,6567.197928
2023,2,3783.7863372715838,298.869301,6517.048162
2023,3,3726.5200908403963,687.492067,6578.788272
2023,4,3546.224999393053,208.840468,6457.961852
2023,5,2498.133031664985,87.060902,5592.861918
2023,6,2842.329041749996,5.273766,6061.296579
2023,7,3011.501322042007,216.592099,6086.16193
2023,8,2654.384999517139,120.338288,5778.492831
2023,9,2505.842312961457,124.78629,6315.979105
2023,10,2949.14821644288,171.44613,5739.831122
2023,11,2712.8421514904503,90.161311,6149.144649
2023,12,3138.857369247985,209.154614,6096.43823
2024,1,2872.5178967886454,36.508153,6822.101171
2024,2,3931.1615881472667,306.24657,6513.874376
2024,3,3433.5349909069228,311.856625,6588.090634
2024,4,4036.1853499322892,400.096563,6587.795729
2024,5,3396.0065928319914,377.777872,6351.805077
2024,6,3479.4590264847193,243.115978,6940.582839
2024,7,2729.1919807096747,33.421684,6639.69736
2024,8,2537.4794127641126,77.313293,6305.720823
2024,9,2072.2877977892344,37.885119,5782.599745
2024,10,3184.7539634509426,178.235591,6503.105
2024,11,3434.4109903105923,103.83622,6621.774631
2024,12,3101.7585923424076,380.295596,6615.210157
