hour_of_day,records_per_hour,min_load_mw,max_load_mw,avg_load_mw,std_dev_load_mw
0,24,4314.626,4670.679,4498.193420833334,95.92994151197246
1,24,4113.6807,4533.3545,4279.782824999999,111.64479764842464
2,24,3977.3232,4263.1147,4125.374475,94.07018718085467
3,24,3928.0483,4143.7563,4028.7124083333333,76.81292311689312
4,24,3904.3516,4053.9775,3976.4258041666667,50.83763784388988
5,24,3912.7026,4064.6523,3984.1604333333325,52.036690272417914
6,24,3951.2517,4190.603,4108.062695833333,52.653147866378134
7,24,4156.7793,4262.017,4222.996704166668,31.542468637936256
8,24,4263.255,4461.015,4346.076854166667,57.7754257419038
9,24,4307.068,4624.389,4466.235750000001,101.75832596903695
10,24,4454.8276,4801.7217,4663.400404166667,106.94866621689407
11,24,4742.591,4910.3184,4831.162833333333,52.921248812220135
12,24,4842.465,4958.324,4904.6869916666665,37.1176599304677
13,24,4904.746,4981.37,4940.335370833333,22.71307848576267
14,24,4894.548,5004.804,4951.9603,28.29810601538996
15,24,4912.953,5067.8213,4980.6123124999995,45.48900243792647
16,24,4962.954,5241.834,5081.620704166667,78.89806931026463
17,24,5137.4746,5379.9995,5248.198341666667,88.47108445778808
18,24,5157.0264,5394.2827,5273.895579166666,96.12042712457331
19,24,5100.5645,5379.283,5243.890908333334,97.70031056248038
20,24,5009.833,5343.0103,5164.576391666667,105.64472685288905
21,24,4922.9893,5208.103,5071.730825000001,102.51848552221222
22,24,4778.1787,5094.7715,4903.451845833333,87.58641848094942
23,24,4554.05,4819.1313,4685.651883333334,74.19931278717621
