hour_of_day,avg_solar_generation_mw,count
0,0.014441632876712329,1460
1,0.004012839726027397,1460
2,0.002241808767123288,1460
3,0.0016804069863013697,1460
4,0.002379484931506848,1460
5,0.0049066657534246605,1460
6,0.3093558520547945,1460
7,95.15458404383561,1460
8,845.2875903280824,1460
9,1795.5556717945199,1460
10,2158.3469680246576,1460
11,2316.8229384732886,1460
12,2401.59238679726,1460
13,2426.4030431020533,1460
14,2404.561429259589,1460
15,2324.3469035404096,1460
16,2098.4716570595892,1460
17,1642.4507512643845,1460
18,1119.856662019178,1460
19,499.19312264452026,1460
20,64.42312716232877,1460
21,0.1199525828767123,1460
22,0.02741150342465751,1460
23,0.0038408335616438353,1460
