pnode_name,type,zone
ADAMSAEP,LOAD,AEP
AEP,ZONE,NaN
AEPAPCO_RESID_AGG,RESIDUAL_METERED_EDC,NaN
AEP-DAYTON HUB,HUB,NaN
AEP GEN HUB,HUB,NaN
AEPIM_RESID_AGG,RESIDUAL_METERED_EDC,NaN
AEPKY_RESID_AGG,RESIDUAL_METERED_EDC,NaN
AEPOHIO_RESID_AGG,RESIDUAL_METERED_EDC,NaN
AEPOHIO W.O. MON POWER,AGGREGATE,NaN
AEP W.O. MON POWER,AGGREGATE,NaN
ALLENAEP,LOAD,AEP
ASHLYAEP,LOAD,AEP
ATSI GEN HUB,HUB,NaN
BELVAAEP,LOAD,AEP
BERLNAEP,LOAD,AEP
BUCKEYE - AEP,AGGREGATE,NaN
BUCKEYE - AEPIM,AGGREGATE,NaN
BUCKEYE - AEPOH,AGGREGATE,NaN
BWAEP,LOAD,AEP
CANALAEP,LOAD,AEP
CHICAGO GEN HUB,HUB,NaN
CHICAGO HUB,HUB,NaN
CTWB4AEP,GEN,AEP
CUMBLAEP,LOAD,AEP
DOMINION HUB,HUB,NaN
DUPNTAEP,LOAD,AEP
EASTERN HUB,HUB,NaN
GAVINAEP,GEN,AEP
GAVINAEP,LOAD,AEP
GIBSNAEP,GEN,AEP
GLADEAEP,LOAD,AEP
HARSNAEP,GEN,AEP
HARSNAEP,LOAD,AEP
HIGHLAEP,LOAD,AEP
HILL_AEP,LOAD,AEP
HUBBARDS,LOAD,AEP
HUBER,LOAD,DOM
HUBERHEI,LOAD,DAY
HUNTEAEP,LOAD,AEP
JEFFAEP,LOAD,AEP
JEHUBRAN,LOAD,AEP
MILL AEP,LOAD,AEP
NAGELAEP,EHV,AEP
NAGELAEP,LOAD,AEP
NEW JERSEY HUB,HUB,NaN
N ILLINOIS HUB,HUB,NaN
OHIO HUB,HUB,NaN
PRST AEP,GEN,AEP
QUINNAEP,LOAD,AEP
SBENDAEP,LOAD,AEP
SPORNAEP,GEN,AEP
SPORNAEP,LOAD,AEP
SULLIVAN-AEP,EHV,AEP
TIDD_AEP,GEN,AEP
TIDD_AEP,LOAD,AEP
UTICAAEP,LOAD,AEP
VARNRAEP,LOAD,AEP
WESTERN HUB,HUB,NaN
WEST INT HUB,HUB,NaN
YUKONAEP,LOAD,AEP
