interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind
2022-12-31T00:00:00-06:00,2022-12-31T06:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,10729.6180555556
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,8347.03958333333
2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,11635.7607638889
2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,2023-01-04T00:00:00-06:00,2023-01-04T06:00:00+00:00,15156.2284722222
2023-01-04T00:00:00-06:00,2023-01-04T06:00:00+00:00,2023-01-05T00:00:00-06:00,2023-01-05T06:00:00+00:00,13964.3017361111
2023-01-05T00:00:00-06:00,2023-01-05T06:00:00+00:00,2023-01-06T00:00:00-06:00,2023-01-06T06:00:00+00:00,11718.2503472222
2023-01-06T00:00:00-06:00,2023-01-06T06:00:00+00:00,2023-01-07T00:00:00-06:00,2023-01-07T06:00:00+00:00,13598.3475694444
2023-01-07T00:00:00-06:00,2023-01-07T06:00:00+00:00,2023-01-08T00:00:00-06:00,2023-01-08T06:00:00+00:00,10873.8263888889
2023-01-08T00:00:00-06:00,2023-01-08T06:00:00+00:00,2023-01-09T00:00:00-06:00,2023-01-09T06:00:00+00:00,8617.00138888889
2023-01-09T00:00:00-06:00,2023-01-09T06:00:00+00:00,2023-01-10T00:00:00-06:00,2023-01-10T06:00:00+00:00,14369.4597222222
2023-01-10T00:00:00-06:00,2023-01-10T06:00:00+00:00,2023-01-11T00:00:00-06:00,2023-01-11T06:00:00+00:00,11374.6753472222
2023-01-11T00:00:00-06:00,2023-01-11T06:00:00+00:00,2023-01-12T00:00:00-06:00,2023-01-12T06:00:00+00:00,14108.0472222222
2023-01-12T00:00:00-06:00,2023-01-12T06:00:00+00:00,2023-01-13T00:00:00-06:00,2023-01-13T06:00:00+00:00,15251.6578125
2023-01-13T00:00:00-06:00,2023-01-13T06:00:00+00:00,2023-01-14T00:00:00-06:00,2023-01-14T06:00:00+00:00,7963.57916666666
2023-01-14T00:00:00-06:00,2023-01-14T06:00:00+00:00,2023-01-15T00:00:00-06:00,2023-01-15T06:00:00+00:00,19722.6128472222
2023-01-15T00:00:00-06:00,2023-01-15T06:00:00+00:00,2023-01-16T00:00:00-06:00,2023-01-16T06:00:00+00:00,17476.5003472222
2023-01-16T00:00:00-06:00,2023-01-16T06:00:00+00:00,2023-01-17T00:00:00-06:00,2023-01-17T06:00:00+00:00,12794.6177083333
2023-01-17T00:00:00-06:00,2023-01-17T06:00:00+00:00,2023-01-18T00:00:00-06:00,2023-01-18T06:00:00+00:00,8517.58958333333
2023-01-18T00:00:00-06:00,2023-01-18T06:00:00+00:00,2023-01-19T00:00:00-06:00,2023-01-19T06:00:00+00:00,16365.5305555555
2023-01-19T00:00:00-06:00,2023-01-19T06:00:00+00:00,2023-01-20T00:00:00-06:00,2023-01-20T06:00:00+00:00,12917.8055555556
2023-01-20T00:00:00-06:00,2023-01-20T06:00:00+00:00,2023-01-21T00:00:00-06:00,2023-01-21T06:00:00+00:00,7078.32048611111
2023-01-21T00:00:00-06:00,2023-01-21T06:00:00+00:00,2023-01-22T00:00:00-06:00,2023-01-22T06:00:00+00:00,12268.2746527778
2023-01-22T00:00:00-06:00,2023-01-22T06:00:00+00:00,2023-01-23T00:00:00-06:00,2023-01-23T06:00:00+00:00,7594.31684027777
2023-01-23T00:00:00-06:00,2023-01-23T06:00:00+00:00,2023-01-24T00:00:00-06:00,2023-01-24T06:00:00+00:00,6921.60086805556
2023-01-24T00:00:00-06:00,2023-01-24T06:00:00+00:00,2023-01-25T00:00:00-06:00,2023-01-25T06:00:00+00:00,7251.88767361111
2023-01-25T00:00:00-06:00,2023-01-25T06:00:00+00:00,2023-01-26T00:00:00-06:00,2023-01-26T06:00:00+00:00,16354.1418402778
2023-01-26T00:00:00-06:00,2023-01-26T06:00:00+00:00,2023-01-27T00:00:00-06:00,2023-01-27T06:00:00+00:00,13486.5078125
2023-01-27T00:00:00-06:00,2023-01-27T06:00:00+00:00,2023-01-28T00:00:00-06:00,2023-01-28T06:00:00+00:00,15791.9579861111
2023-01-28T00:00:00-06:00,2023-01-28T06:00:00+00:00,2023-01-29T00:00:00-06:00,2023-01-29T06:00:00+00:00,18492.0159722222
2023-01-29T00:00:00-06:00,2023-01-29T06:00:00+00:00,2023-01-30T00:00:00-06:00,2023-01-30T06:00:00+00:00,16664.79375
2023-01-30T00:00:00-06:00,2023-01-30T06:00:00+00:00,2023-01-31T00:00:00-06:00,2023-01-31T06:00:00+00:00,10207.1579861111
2023-01-31T00:00:00-06:00,2023-01-31T06:00:00+00:00,2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,6265.48020833334
2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,2023-02-02T00:00:00-06:00,2023-02-02T06:00:00+00:00,4766.02361111111
2023-02-02T00:00:00-06:00,2023-02-02T06:00:00+00:00,2023-02-03T00:00:00-06:00,2023-02-03T06:00:00+00:00,10467.7154513889
2023-02-03T00:00:00-06:00,2023-02-03T06:00:00+00:00,2023-02-04T00:00:00-06:00,2023-02-04T06:00:00+00:00,14695.2871527778
2023-02-04T00:00:00-06:00,2023-02-04T06:00:00+00:00,2023-02-05T00:00:00-06:00,2023-02-05T06:00:00+00:00,19492.2684027778
2023-02-05T00:00:00-06:00,2023-02-05T06:00:00+00:00,2023-02-06T00:00:00-06:00,2023-02-06T06:00:00+00:00,10220.6038194444
2023-02-06T00:00:00-06:00,2023-02-06T06:00:00+00:00,2023-02-07T00:00:00-06:00,2023-02-07T06:00:00+00:00,20804.3993055556
