interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2022-12-31T00:00:00-06:00,2022-12-31T06:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,56.1
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,7666.30000000001
2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,9217.2
2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,2023-01-04T00:00:00-06:00,2023-01-04T06:00:00+00:00,7124.8
2023-01-04T00:00:00-06:00,2023-01-04T06:00:00+00:00,2023-01-05T00:00:00-06:00,2023-01-05T06:00:00+00:00,14693.2
2023-01-05T00:00:00-06:00,2023-01-05T06:00:00+00:00,2023-01-06T00:00:00-06:00,2023-01-06T06:00:00+00:00,13620.1
2023-01-06T00:00:00-06:00,2023-01-06T06:00:00+00:00,2023-01-07T00:00:00-06:00,2023-01-07T06:00:00+00:00,15690.7
2023-01-07T00:00:00-06:00,2023-01-07T06:00:00+00:00,2023-01-08T00:00:00-06:00,2023-01-08T06:00:00+00:00,10056.8
2023-01-08T00:00:00-06:00,2023-01-08T06:00:00+00:00,2023-01-09T00:00:00-06:00,2023-01-09T06:00:00+00:00,16477.1
2023-01-09T00:00:00-06:00,2023-01-09T06:00:00+00:00,2023-01-10T00:00:00-06:00,2023-01-10T06:00:00+00:00,15867.7
2023-01-10T00:00:00-06:00,2023-01-10T06:00:00+00:00,2023-01-11T00:00:00-06:00,2023-01-11T06:00:00+00:00,10227.8
2023-01-11T00:00:00-06:00,2023-01-11T06:00:00+00:00,2023-01-12T00:00:00-06:00,2023-01-12T06:00:00+00:00,13978.45
2023-01-12T00:00:00-06:00,2023-01-12T06:00:00+00:00,2023-01-13T00:00:00-06:00,2023-01-13T06:00:00+00:00,15644.95
2023-01-13T00:00:00-06:00,2023-01-13T06:00:00+00:00,2023-01-14T00:00:00-06:00,2023-01-14T06:00:00+00:00,17193.3
2023-01-14T00:00:00-06:00,2023-01-14T06:00:00+00:00,2023-01-15T00:00:00-06:00,2023-01-15T06:00:00+00:00,8644.29999999999
