interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AEC,25.4268
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_CSWS,26.32734
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_ELKINS,22.82834
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_FITZHUGH,30.08604
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_FLTCREEK,22.41518
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_FULTON,26.93236
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_HYDRO13,29.54652
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECC_JWTURK,26.82046
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AECI,23.28228
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AEPM_CSWS,25.26408
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,ALTW,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,AMRN,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,ANTELOPE,10.06314
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BBA,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BCA,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BEPM_RM_NPPD,19.79262
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BEPM_TS_NPPD,12.83892
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BLKW,9.28974
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BLUECANYON2,4.90516
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BLUECANYON5,26.62902
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BLUECANYON6,4.92918
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BRAZ,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BUBA,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,BUFFALO_DUNES_WIND,9.12434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANADIAN_HILLS_1,13.33434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANADIAN_HILLS_2,13.33434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANADIAN_HILLS_3,13.33434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANADIAN_HILLS_4,13.33434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANADIAN_HILLS_5,13.33434
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CANEY_RIVER_WINDPOWER,16.53706
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CASS_CO_1,20.20842
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CASS_CO_2,20.20842
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CLEC,23.7355
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,COFFEYVILLE_7,25.1456
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,COWP,24.43722
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,COWP_GEN1,24.43722
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,COWP_GEN2,24.43722
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CPLE,25.20666
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,CPLW,25.20666
