interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,SPPNORTH_HUB,Hub,27.3803
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,SPPSOUTH_HUB,Hub,24.5175
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,SPPNORTH_HUB,Hub,22.7035
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,SPPSOUTH_HUB,Hub,22.8004
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,SPPNORTH_HUB,Hub,21.4782
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,SPPSOUTH_HUB,Hub,21.1518
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,SPPNORTH_HUB,Hub,20.5295
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,SPPSOUTH_HUB,Hub,19.3341
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,SPPNORTH_HUB,Hub,22.6436
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,SPPSOUTH_HUB,Hub,17.7257
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,SPPNORTH_HUB,Hub,18.8836
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,SPPSOUTH_HUB,Hub,17.5236
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,SPPNORTH_HUB,Hub,23.0874
