interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2023-06-30T19:00:00-05:00,2023-07-01T00:00:00+00:00,2023-06-30T20:00:00-05:00,2023-07-01T01:00:00+00:00,KCPLHUB,Settlement Location,41.3069,50.5835,-8.2045,-1.0721
2023-06-30T20:00:00-05:00,2023-07-01T01:00:00+00:00,2023-06-30T21:00:00-05:00,2023-07-01T02:00:00+00:00,KCPLHUB,Settlement Location,36.1241,41.5055,-4.4898,-0.8916
2023-06-30T21:00:00-05:00,2023-07-01T02:00:00+00:00,2023-06-30T22:00:00-05:00,2023-07-01T03:00:00+00:00,KCPLHUB,Settlement Location,31.3743,37.2829,-5.1604,-0.7482
2023-06-30T22:00:00-05:00,2023-07-01T03:00:00+00:00,2023-06-30T23:00:00-05:00,2023-07-01T04:00:00+00:00,KCPLHUB,Settlement Location,27.1833,31.3545,-3.109,-1.0622
2023-06-30T23:00:00-05:00,2023-07-01T04:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,KCPLHUB,Settlement Location,22.1747,25.1511,-1.8517,-1.1247
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-07-01T01:00:00-05:00,2023-07-01T06:00:00+00:00,KCPLHUB,Settlement Location,20.8514,23.9417,-1.879,-1.2113
2023-07-01T01:00:00-05:00,2023-07-01T06:00:00+00:00,2023-07-01T02:00:00-05:00,2023-07-01T07:00:00+00:00,KCPLHUB,Settlement Location,19.33,22.5856,-1.8781,-1.3775
2023-07-01T02:00:00-05:00,2023-07-01T07:00:00+00:00,2023-07-01T03:00:00-05:00,2023-07-01T08:00:00+00:00,KCPLHUB,Settlement Location,19.9928,22.3798,-0.9852,-1.4018
2023-07-01T03:00:00-05:00,2023-07-01T08:00:00+00:00,2023-07-01T04:00:00-05:00,2023-07-01T09:00:00+00:00,KCPLHUB,Settlement Location,20.3471,22.582,-0.801,-1.4339
2023-07-01T04:00:00-05:00,2023-07-01T09:00:00+00:00,2023-07-01T05:00:00-05:00,2023-07-01T10:00:00+00:00,KCPLHUB,Settlement Location,20.5962,22.9696,-0.846,-1.5274
2023-07-01T05:00:00-05:00,2023-07-01T10:00:00+00:00,2023-07-01T06:00:00-05:00,2023-07-01T11:00:00+00:00,KCPLHUB,Settlement Location,20.8791,23.4074,-0.9931,-1.5352
