interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T18:05:00-06:00,2023-01-01T00:05:00+00:00,28785.0
2022-12-31T18:05:00-06:00,2023-01-01T00:05:00+00:00,2022-12-31T18:10:00-06:00,2023-01-01T00:10:00+00:00,28800.0
2022-12-31T18:10:00-06:00,2023-01-01T00:10:00+00:00,2022-12-31T18:15:00-06:00,2023-01-01T00:15:00+00:00,28858.0
2022-12-31T18:15:00-06:00,2023-01-01T00:15:00+00:00,2022-12-31T18:20:00-06:00,2023-01-01T00:20:00+00:00,28794.0
2022-12-31T18:20:00-06:00,2023-01-01T00:20:00+00:00,2022-12-31T18:25:00-06:00,2023-01-01T00:25:00+00:00,28845.0
2022-12-31T18:25:00-06:00,2023-01-01T00:25:00+00:00,2022-12-31T18:30:00-06:00,2023-01-01T00:30:00+00:00,28860.0
2022-12-31T18:30:00-06:00,2023-01-01T00:30:00+00:00,2022-12-31T18:35:00-06:00,2023-01-01T00:35:00+00:00,28838.0
2022-12-31T18:35:00-06:00,2023-01-01T00:35:00+00:00,2022-12-31T18:40:00-06:00,2023-01-01T00:40:00+00:00,28768.0
2022-12-31T18:40:00-06:00,2023-01-01T00:40:00+00:00,2022-12-31T18:45:00-06:00,2023-01-01T00:45:00+00:00,28723.0
2022-12-31T18:45:00-06:00,2023-01-01T00:45:00+00:00,2022-12-31T18:50:00-06:00,2023-01-01T00:50:00+00:00,28691.0
2022-12-31T18:50:00-06:00,2023-01-01T00:50:00+00:00,2022-12-31T18:55:00-06:00,2023-01-01T00:55:00+00:00,28670.0
2022-12-31T18:55:00-06:00,2023-01-01T00:55:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,28631.0
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T19:05:00-06:00,2023-01-01T01:05:00+00:00,28531.0
2022-12-31T19:05:00-06:00,2023-01-01T01:05:00+00:00,2022-12-31T19:10:00-06:00,2023-01-01T01:10:00+00:00,28475.0
2022-12-31T19:10:00-06:00,2023-01-01T01:10:00+00:00,2022-12-31T19:15:00-06:00,2023-01-01T01:15:00+00:00,28558.0
2022-12-31T19:15:00-06:00,2023-01-01T01:15:00+00:00,2022-12-31T19:20:00-06:00,2023-01-01T01:20:00+00:00,28594.0
2022-12-31T19:20:00-06:00,2023-01-01T01:20:00+00:00,2022-12-31T19:25:00-06:00,2023-01-01T01:25:00+00:00,28612.0
2022-12-31T19:25:00-06:00,2023-01-01T01:25:00+00:00,2022-12-31T19:30:00-06:00,2023-01-01T01:30:00+00:00,28581.0
2022-12-31T19:30:00-06:00,2023-01-01T01:30:00+00:00,2022-12-31T19:35:00-06:00,2023-01-01T01:35:00+00:00,28525.0
2022-12-31T19:35:00-06:00,2023-01-01T01:35:00+00:00,2022-12-31T19:40:00-06:00,2023-01-01T01:40:00+00:00,28435.0
2022-12-31T19:40:00-06:00,2023-01-01T01:40:00+00:00,2022-12-31T19:45:00-06:00,2023-01-01T01:45:00+00:00,28434.0
2022-12-31T19:45:00-06:00,2023-01-01T01:45:00+00:00,2022-12-31T19:50:00-06:00,2023-01-01T01:50:00+00:00,28387.0
2022-12-31T19:50:00-06:00,2023-01-01T01:50:00+00:00,2022-12-31T19:55:00-06:00,2023-01-01T01:55:00+00:00,28404.0
2022-12-31T19:55:00-06:00,2023-01-01T01:55:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,28323.0
