interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.wind
2023-12-31T18:00:00-06:00,2024-01-01T00:00:00+00:00,2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,10383.975
2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,10667.816666666668
2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,10177.041666666666
2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,9664.258333333333
2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,8571.025
2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,7316.25
2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,6164.791666666665
2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,5630.55
2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,5282.725000000001
2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,5216.433333333333
2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,5368.975
2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,2024-01-01T06:00:00-06:00,2024-01-01T12:00:00+00:00,5473.841666666666
2024-01-01T06:00:00-06:00,2024-01-01T12:00:00+00:00,2024-01-01T07:00:00-06:00,2024-01-01T13:00:00+00:00,5616.516666666667
2024-01-01T07:00:00-06:00,2024-01-01T13:00:00+00:00,2024-01-01T08:00:00-06:00,2024-01-01T14:00:00+00:00,5166.116666666666
2024-01-01T08:00:00-06:00,2024-01-01T14:00:00+00:00,2024-01-01T09:00:00-06:00,2024-01-01T15:00:00+00:00,5022.65
2024-01-01T09:00:00-06:00,2024-01-01T15:00:00+00:00,2024-01-01T10:00:00-06:00,2024-01-01T16:00:00+00:00,5029.516666666666
2024-01-01T10:00:00-06:00,2024-01-01T16:00:00+00:00,2024-01-01T11:00:00-06:00,2024-01-01T17:00:00+00:00,4641.05
2024-01-01T11:00:00-06:00,2024-01-01T17:00:00+00:00,2024-01-01T12:00:00-06:00,2024-01-01T18:00:00+00:00,4194.158333333334
2024-01-01T12:00:00-06:00,2024-01-01T18:00:00+00:00,2024-01-01T13:00:00-06:00,2024-01-01T19:00:00+00:00,4263.358333333334
2024-01-01T13:00:00-06:00,2024-01-01T19:00:00+00:00,2024-01-01T14:00:00-06:00,2024-01-01T20:00:00+00:00,5080.391666666667
2024-01-01T14:00:00-06:00,2024-01-01T20:00:00+00:00,2024-01-01T15:00:00-06:00,2024-01-01T21:00:00+00:00,6368.575000000001
2024-01-01T15:00:00-06:00,2024-01-01T21:00:00+00:00,2024-01-01T16:00:00-06:00,2024-01-01T22:00:00+00:00,7533.891666666666
2024-01-01T16:00:00-06:00,2024-01-01T22:00:00+00:00,2024-01-01T17:00:00-06:00,2024-01-01T23:00:00+00:00,8063.483333333333
2024-01-01T17:00:00-06:00,2024-01-01T23:00:00+00:00,2024-01-01T18:00:00-06:00,2024-01-02T00:00:00+00:00,9350.108333333332
2024-01-01T18:00:00-06:00,2024-01-02T00:00:00+00:00,2024-01-01T19:00:00-06:00,2024-01-02T01:00:00+00:00,11489.058333333334
2024-01-01T19:00:00-06:00,2024-01-02T01:00:00+00:00,2024-01-01T20:00:00-06:00,2024-01-02T02:00:00+00:00,12566.658333333333
2024-01-01T20:00:00-06:00,2024-01-02T02:00:00+00:00,2024-01-01T21:00:00-06:00,2024-01-02T03:00:00+00:00,13577.441666666668
2024-01-01T21:00:00-06:00,2024-01-02T03:00:00+00:00,2024-01-01T22:00:00-06:00,2024-01-02T04:00:00+00:00,13831.574999999999
2024-01-01T22:00:00-06:00,2024-01-02T04:00:00+00:00,2024-01-01T23:00:00-06:00,2024-01-02T05:00:00+00:00,14516.949999999997
2024-01-01T23:00:00-06:00,2024-01-02T05:00:00+00:00,2024-01-02T00:00:00-06:00,2024-01-02T06:00:00+00:00,15622.783333333331
2024-01-02T00:00:00-06:00,2024-01-02T06:00:00+00:00,2024-01-02T01:00:00-06:00,2024-01-02T07:00:00+00:00,16182.583333333334
2024-01-02T01:00:00-06:00,2024-01-02T07:00:00+00:00,2024-01-02T02:00:00-06:00,2024-01-02T08:00:00+00:00,15773.58333333333
2024-01-02T02:00:00-06:00,2024-01-02T08:00:00+00:00,2024-01-02T03:00:00-06:00,2024-01-02T09:00:00+00:00,15380.23333333333
2024-01-02T03:00:00-06:00,2024-01-02T09:00:00+00:00,2024-01-02T04:00:00-06:00,2024-01-02T10:00:00+00:00,14305.533333333333
2024-01-02T04:00:00-06:00,2024-01-02T10:00:00+00:00,2024-01-02T05:00:00-06:00,2024-01-02T11:00:00+00:00,13904.75
2024-01-02T05:00:00-06:00,2024-01-02T11:00:00+00:00,2024-01-02T06:00:00-06:00,2024-01-02T12:00:00+00:00,13886.366666666667
2024-01-02T06:00:00-06:00,2024-01-02T12:00:00+00:00,2024-01-02T07:00:00-06:00,2024-01-02T13:00:00+00:00,14389.75
2024-01-02T07:00:00-06:00,2024-01-02T13:00:00+00:00,2024-01-02T08:00:00-06:00,2024-01-02T14:00:00+00:00,14378.199999999999
2024-01-02T08:00:00-06:00,2024-01-02T14:00:00+00:00,2024-01-02T09:00:00-06:00,2024-01-02T15:00:00+00:00,14421.441666666666
2024-01-02T09:00:00-06:00,2024-01-02T15:00:00+00:00,2024-01-02T10:00:00-06:00,2024-01-02T16:00:00+00:00,12222.549999999997
2024-01-02T10:00:00-06:00,2024-01-02T16:00:00+00:00,2024-01-02T11:00:00-06:00,2024-01-02T17:00:00+00:00,9664.550000000001
2024-01-02T11:00:00-06:00,2024-01-02T17:00:00+00:00,2024-01-02T12:00:00-06:00,2024-01-02T18:00:00+00:00,8391.475
2024-01-02T12:00:00-06:00,2024-01-02T18:00:00+00:00,2024-01-02T13:00:00-06:00,2024-01-02T19:00:00+00:00,6592.916666666667
2024-01-02T13:00:00-06:00,2024-01-02T19:00:00+00:00,2024-01-02T14:00:00-06:00,2024-01-02T20:00:00+00:00,5110.624999999999
2024-01-02T14:00:00-06:00,2024-01-02T20:00:00+00:00,2024-01-02T15:00:00-06:00,2024-01-02T21:00:00+00:00,4587.525000000001
