interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.solar
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,0.6666666666666666
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,0.8416666666666668
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,0.725
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,0.7666666666666666
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,0.8416666666666667
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,0.8333333333333334
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,0.9916666666666667
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,0.875
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,0.75
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,0.8750000000000001
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,0.6583333333333333
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,0.6666666666666666
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,0.8166666666666665
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,0.7999999999999999
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,7.675
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,31.733333333333334
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,84.85000000000001
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,113.48333333333333
2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,92.63333333333333
2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,91.41666666666667
2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,81.12500000000001
2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,68.22500000000001
2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,47.025000000000006
2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,10.408333333333333
2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,0.6333333333333332
2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,0.725
2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,0.5333333333333333
2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,0.7583333333333333
2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,0.5916666666666667
2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,0.6083333333333332
2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,0.6166666666666666
2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,0.6916666666666665
2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,0.725
2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,0.8249999999999998
2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,0.7666666666666666
2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,0.7999999999999999
2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,0.7583333333333333
2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,0.75
2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,10.875
2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,63.291666666666664
2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,42.2
2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,46.25833333333333
2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,66.64166666666667
2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,103.625
2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,117.50833333333334
2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,2023-01-02T16:00:00-06:00,2023-01-02T22:00:00+00:00,136.69166666666666
2023-01-02T16:00:00-06:00,2023-01-02T22:00:00+00:00,2023-01-02T17:00:00-06:00,2023-01-02T23:00:00+00:00,115.22500000000001
2023-01-02T17:00:00-06:00,2023-01-02T23:00:00+00:00,2023-01-02T18:00:00-06:00,2023-01-03T00:00:00+00:00,35.95
2023-01-02T18:00:00-06:00,2023-01-03T00:00:00+00:00,2023-01-02T19:00:00-06:00,2023-01-03T01:00:00+00:00,4.008333333333334
2023-01-02T19:00:00-06:00,2023-01-03T01:00:00+00:00,2023-01-02T20:00:00-06:00,2023-01-03T02:00:00+00:00,4.124999999999999
2023-01-02T20:00:00-06:00,2023-01-03T02:00:00+00:00,2023-01-02T21:00:00-06:00,2023-01-03T03:00:00+00:00,3.9166666666666665
2023-01-02T21:00:00-06:00,2023-01-03T03:00:00+00:00,2023-01-02T22:00:00-06:00,2023-01-03T04:00:00+00:00,3.9
2023-01-02T22:00:00-06:00,2023-01-03T04:00:00+00:00,2023-01-02T23:00:00-06:00,2023-01-03T05:00:00+00:00,3.9583333333333326
2023-01-02T23:00:00-06:00,2023-01-03T05:00:00+00:00,2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,3.9916666666666667
2023-01-03T00:00:00-06:00,2023-01-03T06:00:00+00:00,2023-01-03T01:00:00-06:00,2023-01-03T07:00:00+00:00,3.9000000000000004
2023-01-03T01:00:00-06:00,2023-01-03T07:00:00+00:00,2023-01-03T02:00:00-06:00,2023-01-03T08:00:00+00:00,3.9749999999999996
2023-01-03T02:00:00-06:00,2023-01-03T08:00:00+00:00,2023-01-03T03:00:00-06:00,2023-01-03T09:00:00+00:00,4.008333333333334
2023-01-03T03:00:00-06:00,2023-01-03T09:00:00+00:00,2023-01-03T04:00:00-06:00,2023-01-03T10:00:00+00:00,4.075
2023-01-03T04:00:00-06:00,2023-01-03T10:00:00+00:00,2023-01-03T05:00:00-06:00,2023-01-03T11:00:00+00:00,4.066666666666666
2023-01-03T05:00:00-06:00,2023-01-03T11:00:00+00:00,2023-01-03T06:00:00-06:00,2023-01-03T12:00:00+00:00,4.2
2023-01-03T06:00:00-06:00,2023-01-03T12:00:00+00:00,2023-01-03T07:00:00-06:00,2023-01-03T13:00:00+00:00,3.966666666666667
2023-01-03T07:00:00-06:00,2023-01-03T13:00:00+00:00,2023-01-03T08:00:00-06:00,2023-01-03T14:00:00+00:00,3.983333333333333
2023-01-03T08:00:00-06:00,2023-01-03T14:00:00+00:00,2023-01-03T09:00:00-06:00,2023-01-03T15:00:00+00:00,4.95
2023-01-03T09:00:00-06:00,2023-01-03T15:00:00+00:00,2023-01-03T10:00:00-06:00,2023-01-03T16:00:00+00:00,14.25
2023-01-03T10:00:00-06:00,2023-01-03T16:00:00+00:00,2023-01-03T11:00:00-06:00,2023-01-03T17:00:00+00:00,41.333333333333336
2023-01-03T11:00:00-06:00,2023-01-03T17:00:00+00:00,2023-01-03T12:00:00-06:00,2023-01-03T18:00:00+00:00,67.18333333333334
2023-01-03T12:00:00-06:00,2023-01-03T18:00:00+00:00,2023-01-03T13:00:00-06:00,2023-01-03T19:00:00+00:00,74.66666666666666
2023-01-03T13:00:00-06:00,2023-01-03T19:00:00+00:00,2023-01-03T14:00:00-06:00,2023-01-03T20:00:00+00:00,73.05833333333334
2023-01-03T14:00:00-06:00,2023-01-03T20:00:00+00:00,2023-01-03T15:00:00-06:00,2023-01-03T21:00:00+00:00,92.18333333333334
2023-01-03T15:00:00-06:00,2023-01-03T21:00:00+00:00,2023-01-03T16:00:00-06:00,2023-01-03T22:00:00+00:00,99.55833333333332
2023-01-03T16:00:00-06:00,2023-01-03T22:00:00+00:00,2023-01-03T17:00:00-06:00,2023-01-03T23:00:00+00:00,65.5
2023-01-03T17:00:00-06:00,2023-01-03T23:00:00+00:00,2023-01-03T18:00:00-06:00,2023-01-04T00:00:00+00:00,13.383333333333333
2023-01-03T18:00:00-06:00,2023-01-04T00:00:00+00:00,2023-01-03T19:00:00-06:00,2023-01-04T01:00:00+00:00,3.8749999999999996
