timestamp,value
1325376000000,{'electricity': 0.744}
1325379600000,{'electricity': 0.812}
1325383200000,{'electricity': 0.947}
1325386800000,{'electricity': 0.987}
1325390400000,{'electricity': 0.984}
1325394000000,{'electricity': 0.965}
1325397600000,{'electricity': 0.958}
1325401200000,{'electricity': 0.909}
1325404800000,{'electricity': 0.821}
1325408400000,{'electricity': 0.678}
1325412000000,{'electricity': 0.523}
1325415600000,{'electricity': 0.488}
1325419200000,{'electricity': 0.499}
1325422800000,{'electricity': 0.532}
1325426400000,{'electricity': 0.401}
1325430000000,{'electricity': 0.245}
1325433600000,{'electricity': 0.338}
1325437200000,{'electricity': 0.241}
1325440800000,{'electricity': 0.156}
1325444400000,{'electricity': 0.117}
1325448000000,{'electricity': 0.107}
1325451600000,{'electricity': 0.122}
1325455200000,{'electricity': 0.141}
1325458800000,{'electricity': 0.187}
1325462400000,{'electricity': 0.223}
1325466000000,{'electricity': 0.238}
1325469600000,{'electricity': 0.249}
1325473200000,{'electricity': 0.248}
1325476800000,{'electricity': 0.218}
1325480400000,{'electricity': 0.161}
1325484000000,{'electricity': 0.112}
1325487600000,{'electricity': 0.069}
1325491200000,{'electricity': 0.03}
1325494800000,{'electricity': 0.02}
1325498400000,{'electricity': 0.05}
1325502000000,{'electricity': 0.153}
1325505600000,{'electricity': 0.284}
1325509200000,{'electricity': 0.35}
1325512800000,{'electricity': 0.265}
1325516400000,{'electricity': 0.101}
1325520000000,{'electricity': 0.079}
1325523600000,{'electricity': 0.013}
1325527200000,{'electricity': 0.0}
1325530800000,{'electricity': 0.0}
1325534400000,{'electricity': 0.001}
1325538000000,{'electricity': 0.002}
1325541600000,{'electricity': 0.001}
1325545200000,{'electricity': 0.0}
1325548800000,{'electricity': 0.0}
1325552400000,{'electricity': 0.001}
1325556000000,{'electricity': 0.02}
1325559600000,{'electricity': 0.089}
1325563200000,{'electricity': 0.213}
1325566800000,{'electricity': 0.361}
1325570400000,{'electricity': 0.485}
1325574000000,{'electricity': 0.568}
1325577600000,{'electricity': 0.595}
1325581200000,{'electricity': 0.59}
1325584800000,{'electricity': 0.578}
1325588400000,{'electricity': 0.581}
1325592000000,{'electricity': 0.601}
1325595600000,{'electricity': 0.628}
1325599200000,{'electricity': 0.508}
1325602800000,{'electricity': 0.259}
1325606400000,{'electricity': 0.427}
1325610000000,{'electricity': 0.789}
1325613600000,{'electricity': 0.818}
1325617200000,{'electricity': 0.821}
1325620800000,{'electricity': 0.822}
1325624400000,{'electricity': 0.822}
1325628000000,{'electricity': 0.796}
1325631600000,{'electricity': 0.846}
1325635200000,{'electricity': 0.907}
1325638800000,{'electricity': 0.9}
1325642400000,{'electricity': 0.874}
1325646000000,{'electricity': 0.859}
1325649600000,{'electricity': 0.855}
1325653200000,{'electricity': 0.854}
1325656800000,{'electricity': 0.846}
1325660400000,{'electricity': 0.811}
1325664000000,{'electricity': 0.746}
1325667600000,{'electricity': 0.652}
1325671200000,{'electricity': 0.503}
1325674800000,{'electricity': 0.332}
1325678400000,{'electricity': 0.355}
1325682000000,{'electricity': 0.538}
1325685600000,{'electricity': 0.592}
1325689200000,{'electricity': 0.642}
1325692800000,{'electricity': 0.892}
1325696400000,{'electricity': 0.905}
1325700000000,{'electricity': 0.872}
1325703600000,{'electricity': 0.817}
1325707200000,{'electricity': 0.744}
1325710800000,{'electricity': 0.665}
1325714400000,{'electricity': 0.552}
1325718000000,{'electricity': 0.519}
1325721600000,{'electricity': 0.499}
1325725200000,{'electricity': 0.414}
1325728800000,{'electricity': 0.289}
1325732400000,{'electricity': 0.15}
1325736000000,{'electricity': 0.044}
1325739600000,{'electricity': 0.003}
1325743200000,{'electricity': 0.0}
1325746800000,{'electricity': 0.0}
1325750400000,{'electricity': 0.014}
1325754000000,{'electricity': 0.057}
1325757600000,{'electricity': 0.101}
1325761200000,{'electricity': 0.138}
1325764800000,{'electricity': 0.178}
1325768400000,{'electricity': 0.225}
1325772000000,{'electricity': 0.3}
1325775600000,{'electricity': 0.192}
1325779200000,{'electricity': 0.133}
1325782800000,{'electricity': 0.249}
1325786400000,{'electricity': 0.279}
1325790000000,{'electricity': 0.296}
1325793600000,{'electricity': 0.286}
1325797200000,{'electricity': 0.252}
1325800800000,{'electricity': 0.217}
1325804400000,{'electricity': 0.268}
1325808000000,{'electricity': 0.414}
1325811600000,{'electricity': 0.604}
1325815200000,{'electricity': 0.74}
1325818800000,{'electricity': 0.801}
1325822400000,{'electricity': 0.817}
1325826000000,{'electricity': 0.816}
1325829600000,{'electricity': 0.806}
1325833200000,{'electricity': 0.788}
1325836800000,{'electricity': 0.763}
1325840400000,{'electricity': 0.76}
1325844000000,{'electricity': 0.765}
1325847600000,{'electricity': 0.775}
1325851200000,{'electricity': 0.785}
1325854800000,{'electricity': 0.789}
1325858400000,{'electricity': 0.705}
1325862000000,{'electricity': 0.488}
1325865600000,{'electricity': 0.42}
1325869200000,{'electricity': 0.717}
1325872800000,{'electricity': 0.861}
1325876400000,{'electricity': 0.864}
1325880000000,{'electricity': 0.834}
1325883600000,{'electricity': 0.782}
1325887200000,{'electricity': 0.682}
1325890800000,{'electricity': 0.658}
1325894400000,{'electricity': 0.531}
1325898000000,{'electricity': 0.403}
1325901600000,{'electricity': 0.624}
1325905200000,{'electricity': 0.829}
1325908800000,{'electricity': 0.857}
1325912400000,{'electricity': 0.85}
1325916000000,{'electricity': 0.827}
1325919600000,{'electricity': 0.792}
1325923200000,{'electricity': 0.759}
1325926800000,{'electricity': 0.728}
1325930400000,{'electricity': 0.711}
1325934000000,{'electricity': 0.693}
1325937600000,{'electricity': 0.663}
1325941200000,{'electricity': 0.636}
1325944800000,{'electricity': 0.483}
1325948400000,{'electricity': 0.457}
1325952000000,{'electricity': 0.32}
1325955600000,{'electricity': 0.153}
1325959200000,{'electricity': 0.05}
1325962800000,{'electricity': 0.009}
1325966400000,{'electricity': 0.002}
1325970000000,{'electricity': 0.001}
1325973600000,{'electricity': 0.0}
1325977200000,{'electricity': 0.0}
1325980800000,{'electricity': 0.002}
1325984400000,{'electricity': 0.021}
1325988000000,{'electricity': 0.07}
1325991600000,{'electricity': 0.139}
1325995200000,{'electricity': 0.164}
1325998800000,{'electricity': 0.134}
1326002400000,{'electricity': 0.091}
1326006000000,{'electricity': 0.062}
1326009600000,{'electricity': 0.036}
1326013200000,{'electricity': 0.014}
1326016800000,{'electricity': 0.004}
1326020400000,{'electricity': 0.004}
1326024000000,{'electricity': 0.033}
1326027600000,{'electricity': 0.132}
1326031200000,{'electricity': 0.161}
1326034800000,{'electricity': 0.09}
1326038400000,{'electricity': 0.103}
1326042000000,{'electricity': 0.133}
1326045600000,{'electricity': 0.146}
1326049200000,{'electricity': 0.16}
1326052800000,{'electricity': 0.195}
1326056400000,{'electricity': 0.262}
1326060000000,{'electricity': 0.364}
1326063600000,{'electricity': 0.467}
1326067200000,{'electricity': 0.566}
1326070800000,{'electricity': 0.56}
1326074400000,{'electricity': 0.528}
1326078000000,{'electricity': 0.502}
1326081600000,{'electricity': 0.504}
1326085200000,{'electricity': 0.491}
1326088800000,{'electricity': 0.574}
1326092400000,{'electricity': 0.469}
1326096000000,{'electricity': 0.442}
1326099600000,{'electricity': 0.586}
1326103200000,{'electricity': 0.633}
1326106800000,{'electricity': 0.65}
1326110400000,{'electricity': 0.747}
1326114000000,{'electricity': 0.739}
1326117600000,{'electricity': 0.685}
1326121200000,{'electricity': 0.783}
1326124800000,{'electricity': 0.827}
1326128400000,{'electricity': 0.791}
1326132000000,{'electricity': 0.793}
1326135600000,{'electricity': 0.704}
1326139200000,{'electricity': 0.51}
1326142800000,{'electricity': 0.339}
1326146400000,{'electricity': 0.238}
1326150000000,{'electricity': 0.213}
1326153600000,{'electricity': 0.218}
1326157200000,{'electricity': 0.211}
1326160800000,{'electricity': 0.184}
1326164400000,{'electricity': 0.236}
1326168000000,{'electricity': 0.326}
1326171600000,{'electricity': 0.409}
1326175200000,{'electricity': 0.403}
1326178800000,{'electricity': 0.32}
1326182400000,{'electricity': 0.379}
1326186000000,{'electricity': 0.444}
1326189600000,{'electricity': 0.476}
1326193200000,{'electricity': 0.475}
1326196800000,{'electricity': 0.532}
1326200400000,{'electricity': 0.578}
1326204000000,{'electricity': 0.466}
1326207600000,{'electricity': 0.283}
1326211200000,{'electricity': 0.224}
1326214800000,{'electricity': 0.272}
1326218400000,{'electricity': 0.316}
1326222000000,{'electricity': 0.321}
1326225600000,{'electricity': 0.325}
1326229200000,{'electricity': 0.289}
1326232800000,{'electricity': 0.166}
1326236400000,{'electricity': 0.146}
1326240000000,{'electricity': 0.222}
1326243600000,{'electricity': 0.395}
1326247200000,{'electricity': 0.579}
1326250800000,{'electricity': 0.716}
1326254400000,{'electricity': 0.799}
1326258000000,{'electricity': 0.833}
1326261600000,{'electricity': 0.84}
1326265200000,{'electricity': 0.819}
1326268800000,{'electricity': 0.786}
1326272400000,{'electricity': 0.772}
1326276000000,{'electricity': 0.778}
1326279600000,{'electricity': 0.793}
1326283200000,{'electricity': 0.812}
1326286800000,{'electricity': 0.833}
1326290400000,{'electricity': 0.791}
1326294000000,{'electricity': 0.68}
1326297600000,{'electricity': 0.737}
1326301200000,{'electricity': 0.905}
1326304800000,{'electricity': 0.923}
1326308400000,{'electricity': 0.931}
1326312000000,{'electricity': 0.955}
1326315600000,{'electricity': 0.969}
1326319200000,{'electricity': 0.966}
1326322800000,{'electricity': 0.961}
1326326400000,{'electricity': 0.959}
1326330000000,{'electricity': 0.965}
1326333600000,{'electricity': 0.959}
1326337200000,{'electricity': 0.95}
